,source,idColName,iden,text,startByte,endByte,pdncID,paraID,chapID,mID,mention_type
0,pdnc,qID,Q0-0,The Signora,39,50,52,3,1,M_0,Other
1,exp,exp_name,miss bartlett,Miss Bartlett,83,96,6,3,1,M_1,PROPN
2,pdnc,qID,Q0-1,She,119,122,52,3,1,M_2,Other
3,pdnc,qID,Q0-1,Lucy,266,270,4,3,1,M_3,PROPN
4,exp,exp_name,lucy,Lucy,305,309,4,4,1,M_4,PROPN
5,exp,exp_name,the signora,the Signora,344,355,52,4,1,M_5,PROPN
6,booknlp,COREF,116,She,399,402,4,4,1,M_6,Other
7,exp,exp_name,rev. cuthbert eager,Rev. Cuthbert Eager,725,744,49,4,1,M_7,PROPN
8,pdnc,qID,Q2-0,Charlotte,809,818,6,4,1,M_8,PROPN
9,pdnc,qID,Q2-0,you,826,829,6,4,1,M_9,Other
10,booknlp,COREF,116,I,869,870,4,4,1,M_10,Other
11,booknlp,COREF,116,I,939,940,4,4,1,M_11,Other
12,exp,exp_name,miss bartlett,Miss Bartlett,1027,1040,6,5,1,M_12,PROPN
13,booknlp,COREF,115,her,1054,1057,6,5,1,M_13,Other
14,booknlp,COREF,116,I,1066,1067,4,6,1,M_14,Other
15,exp,exp_name,the arno,the Arno,1083,1091,31,6,1,M_15,PROPN
16,pdnc,qID,Q4-0,the Signora,1103,1114,52,6,1,M_16,Other
17,pdnc,qID,Q4-0,her,1130,1133,52,6,1,M_17,Other
18,exp,exp_name,the arno,the Arno,1164,1172,31,6,1,M_18,PROPN
19,pdnc,qID,Q4-0,The Signora,1174,1185,52,6,1,M_19,Other
20,booknlp,COREF,115,me,1259,1261,6,7,1,M_20,Other
21,exp,exp_name,miss bartlett,Miss Bartlett,1264,1277,6,7,1,M_21,PROPN
22,pdnc,qID,Q5-1,you,1317,1320,4,7,1,M_22,Other
23,exp,exp_name,lucy,Lucy,1346,1350,4,8,1,M_23,PROPN
24,booknlp,COREF,116,she,1361,1364,4,8,1,M_24,Other
25,pdnc,qID,Q6-0,Charlotte,1384,1393,6,8,1,M_25,PROPN
26,pdnc,qID,Q6-0,you,1395,1398,6,8,1,M_26,Other
