,source,idColName,iden,text,startByte,endByte,pdncID,paraID,chapID,mID,mention_type
0,exp,exp_name,christine nilsson,Christine Nilsson,101,118,0,6,1,M_0,PROPN
1,exp,exp_name,madame nilsson,Madame Nilsson,866,880,0,8,1,M_1,PROPN
2,booknlp,COREF,213,her,1032,1035,0,8,1,M_2,Other
3,exp,exp_name,newland archer,Newland Archer,1788,1802,35,9,1,M_3,PROPN
4,exp,exp_name,mrs. archer,Mrs. Archer,2192,2203,25,9,1,M_4,PROPN
5,exp,exp_name,newland archer,Newland Archer,2434,2448,35,9,1,M_5,PROPN
6,exp,exp_name,newland archer,Newland Archer,3582,3596,35,11,1,M_6,PROPN
7,exp,exp_name,newland archer,Newland Archer,4219,4233,35,13,1,M_7,PROPN
8,exp,exp_name,mrs. manson mingott,Mrs. Manson Mingott,4404,4423,36,13,1,M_8,PROPN
9,exp,exp_name,mrs. lovell mingott,Mrs. Lovell Mingott,4686,4705,30,13,1,M_9,PROPN
10,exp,exp_name,mrs. welland,Mrs. Welland,4725,4737,26,13,1,M_10,PROPN
11,exp,exp_name,madame nilsson,Madame Nilsson,4871,4885,0,13,1,M_11,PROPN
12,exp,exp_name,newland archer,Newland Archer,5290,5304,35,13,1,M_12,PROPN
13,exp,exp_name,madame nilsson,Madame Nilsson,6241,6255,0,15,1,M_13,PROPN
14,booknlp,COREF,213,her,6404,6407,0,15,1,M_14,Other
15,exp,exp_name,newland archer,Newland Archer,6715,6729,35,16,1,M_15,PROPN
16,exp,exp_name,may welland,May Welland,7299,7310,15,16,1,M_16,PROPN
17,exp,exp_name,newland archer,Newland Archer,7623,7637,35,17,1,M_17,PROPN
18,exp,exp_name,newland archer,Newland Archer,8878,8892,35,18,1,M_18,PROPN
19,booknlp,COREF,224,my,9429,9431,11,19,1,M_19,Other
20,exp,exp_name,lawrence lefferts,Lawrence Lefferts,9449,9466,11,19,1,M_20,PROPN
21,booknlp,COREF,224,his,9476,9479,11,19,1,M_21,Other
22,exp,exp_name,lawrence lefferts,Lawrence Lefferts,9523,9540,11,19,1,M_22,PROPN
23,booknlp,COREF,224,He,9607,9609,11,19,1,M_23,Other
24,booknlp,COREF,224,his,9754,9757,11,19,1,M_24,Other
25,booknlp,COREF,224,him,9813,9816,11,19,1,M_25,Other
26,booknlp,COREF,224,his,9836,9839,11,19,1,M_26,Other
27,booknlp,COREF,224,his,9871,9874,11,19,1,M_27,Other
28,booknlp,COREF,224,his,9952,9955,11,19,1,M_28,Other
29,booknlp,COREF,224,him,10189,10192,11,19,1,M_29,Other
30,exp,exp_name,lefferts,Lefferts,10304,10312,11,19,1,M_30,PROPN
31,booknlp,COREF,224,his,10377,10380,11,19,1,M_31,Other
32,booknlp,COREF,224,My,10418,10420,11,20,1,M_32,Other
33,booknlp,COREF,224,he,10427,10429,11,20,1,M_33,Other
34,booknlp,COREF,224,his,10456,10459,11,20,1,M_34,Other
35,exp,exp_name,sillerton jackson,Sillerton Jackson,10473,10490,22,20,1,M_35,PROPN
36,exp,exp_name,newland archer,Newland Archer,10493,10507,35,21,1,M_36,PROPN
37,exp,exp_name,lefferts,Lefferts,10519,10527,11,21,1,M_37,PROPN
38,booknlp,COREF,224,his,10561,10564,11,21,1,M_38,Other
39,exp,exp_name,old mrs. mingott,old Mrs. Mingott,10631,10647,36,21,1,M_39,PROPN
40,exp,exp_name,may welland,May Welland,10715,10726,15,21,1,M_40,PROPN
41,exp,exp_name,mrs. welland,Mrs. Welland,11229,11241,26,21,1,M_41,PROPN
42,exp,exp_name,mrs. welland,Mrs. Welland,11387,11399,26,21,1,M_42,PROPN
43,exp,exp_name,mrs. lovell mingott,Mrs. Lovell Mingott,11417,11436,30,21,1,M_43,PROPN
44,exp,exp_name,mr. sillerton jackson,Mr. Sillerton Jackson,11481,11502,22,22,1,M_44,PROPN
45,exp,exp_name,lawrence lefferts,Lawrence Lefferts,11535,11552,11,22,1,M_45,PROPN
46,exp,exp_name,mr. jackson,Mr. Jackson,11652,11663,22,22,1,M_46,PROPN
47,exp,exp_name,lawrence lefferts,Lawrence Lefferts,11705,11722,11,22,1,M_47,PROPN
48,booknlp,COREF,225,He,11739,11741,22,22,1,M_48,Other
49,exp,exp_name,manson,Manson,12096,12102,43,22,1,M_49,PROPN
