,source,idColName,iden,text,startByte,endByte,pdncID,paraID,chapID,mID,mention_type
0,exp,exp_name,the rabbit,the Rabbit,16,26,21,1,1,M_0,PROPN
1,exp,exp_name,alice,Alice,34,39,0,2,1,M_1,PROPN
2,exp,exp_name,her sister,her sister,86,96,4,2,1,M_2,PROPN
3,booknlp,COREF,40,she,153,156,0,2,1,M_3,Other
4,exp,exp_name,her sister,her sister,182,192,4,2,1,M_4,PROPN
5,exp,exp_name,alice,Alice,294,299,0,2,1,M_5,PROPN
6,booknlp,COREF,40,she,341,344,0,3,1,M_6,Other
7,booknlp,COREF,40,her,364,367,0,3,1,M_7,Other
8,booknlp,COREF,40,she,389,392,0,3,1,M_8,Other
9,booknlp,COREF,40,her,421,424,0,3,1,M_9,Other
10,booknlp,COREF,40,her,623,626,0,3,1,M_10,Other
11,exp,exp_name,alice,Alice,685,690,0,4,1,M_11,PROPN
12,exp,exp_name,the rabbit,the Rabbit,738,748,21,4,1,M_12,PROPN
13,booknlp,COREF,20,itself,756,762,21,4,1,M_13,Other
14,booknlp,COREF,20,I,783,784,21,4,1,M_14,Other
15,booknlp,COREF,40,she,807,810,0,4,1,M_15,Other
16,booknlp,COREF,40,her,854,857,0,4,1,M_16,Other
17,booknlp,COREF,40,she,863,866,0,4,1,M_17,Other
18,exp,exp_name,time,time,910,914,22,4,1,M_18,PROPN
19,exp,exp_name,the rabbit,the Rabbit,954,964,21,4,1,M_19,PROPN
20,exp,exp_name,alice,Alice,1057,1062,0,4,1,M_20,PROPN
21,booknlp,COREF,40,her,1074,1077,0,4,1,M_21,Other
22,booknlp,COREF,40,her,1106,1109,0,4,1,M_22,Other
23,booknlp,COREF,40,she,1120,1123,0,4,1,M_23,Other
24,booknlp,COREF,40,she,1245,1248,0,4,1,M_24,Other
25,exp,exp_name,time,time,1308,1312,22,4,1,M_25,PROPN
26,booknlp,COREF,20,it,1320,1322,21,4,1,M_26,Other
27,exp,exp_name,alice,Alice,1398,1403,0,5,1,M_27,PROPN
