,source,idColName,iden,text,startByte,endByte,pdncID,paraID,chapID,mID,mention_type
0,exp,exp_name,anne of green gables,ANNE OF GREEN GABLES,0,20,2,1,-1,M_0,PROPN
1,exp,exp_name,mrs. rachel lynde,Mrs. Rachel Lynde,36,53,48,2,1,M_1,PROPN
2,exp,exp_name,mrs. rachel lynde,MRS. Rachel Lynde,70,87,48,3,1,M_2,PROPN
3,exp,exp_name,cuthbert,Cuthbert,281,289,22,3,1,M_3,PROPN
4,exp,exp_name,lynde,Lynde,456,461,48,3,1,M_4,PROPN
5,exp,exp_name,mrs. rachel lynde,Mrs. Rachel Lynde,553,570,48,3,1,M_5,PROPN
6,exp,exp_name,mrs. rachel,Mrs. Rachel,653,664,48,3,1,M_6,PROPN
7,booknlp,COREF,105,her,680,683,48,3,1,M_7,Other
8,booknlp,COREF,105,she,780,783,48,3,1,M_8,Other
9,booknlp,COREF,105,she,821,824,48,3,1,M_9,Other
10,booknlp,COREF,105,she,848,851,48,3,1,M_10,Other
11,exp,exp_name,mrs. rachel lynde,Mrs. Rachel Lynde,1045,1062,48,4,1,M_11,PROPN
12,booknlp,COREF,105,She,1175,1178,48,4,1,M_12,Other
13,booknlp,COREF,105,her,1204,1207,48,4,1,M_13,Other
14,booknlp,COREF,105,she,1244,1247,48,4,1,M_14,Other
15,exp,exp_name,mrs. rachel,Mrs. Rachel,1406,1417,48,4,1,M_15,PROPN
16,booknlp,COREF,105,her,1458,1461,48,4,1,M_16,Other
17,booknlp,COREF,105,she,1509,1512,48,4,1,M_17,Other
18,exp,exp_name,mrs. rachel,Mrs. Rachel,1935,1946,48,4,1,M_18,PROPN
19,booknlp,COREF,105,She,1966,1969,48,5,1,M_19,Other
20,exp,exp_name,thomas lynde,Thomas Lynde,2188,2200,58,5,1,M_20,PROPN
21,exp,exp_name,rachel lynde,Rachel Lynde,2248,2260,48,5,1,M_21,PROPN
22,booknlp,COREF,106,his,2284,2287,58,5,1,M_22,Other
23,exp,exp_name,matthew cuthbert,Matthew Cuthbert,2344,2360,22,5,1,M_23,PROPN
24,booknlp,COREF,107,his,2387,2390,22,5,1,M_24,Other
25,booknlp,COREF,107,Green Gables,2431,2443,22,5,1,M_25,PROPN
26,exp,exp_name,mrs. rachel,Mrs. Rachel,2445,2456,48,5,1,M_26,PROPN
27,booknlp,COREF,107,he,2467,2469,22,5,1,M_27,Other
28,booknlp,COREF,105,she,2484,2487,48,5,1,M_28,Other
29,booknlp,COREF,107,him,2498,2501,22,5,1,M_29,Other
30,exp,exp_name,peter,Peter,2507,2512,41,5,1,M_30,PROPN
31,exp,exp_name,william j. blair,William J. Blair,2544,2560,59,5,1,M_31,PROPN
32,booknlp,COREF,107,he,2590,2592,22,5,1,M_32,Other
33,booknlp,COREF,107,his,2606,2609,22,5,1,M_33,Other
34,exp,exp_name,peter,Peter,2642,2647,41,5,1,M_34,PROPN
35,booknlp,COREF,107,him,2658,2661,22,5,1,M_35,Other
36,exp,exp_name,matthew cuthbert,Matthew Cuthbert,2678,2694,22,5,1,M_36,PROPN
37,booknlp,COREF,107,his,2759,2762,22,5,1,M_37,Other
38,exp,exp_name,matthew cuthbert,Matthew Cuthbert,2793,2809,22,6,1,M_38,PROPN
39,booknlp,COREF,107,he,2922,2924,22,6,1,M_39,Other
40,booknlp,COREF,107,his,2949,2952,22,6,1,M_40,Other
41,booknlp,COREF,107,he,3002,3004,22,6,1,M_41,Other
42,booknlp,COREF,107,he,3035,3037,22,6,1,M_42,Other
43,booknlp,COREF,107,he,3094,3096,22,6,1,M_43,Other
44,exp,exp_name,matthew cuthbert,Matthew Cuthbert,3147,3163,22,6,1,M_44,PROPN
45,booknlp,COREF,107,he,3182,3184,22,6,1,M_45,Other
46,exp,exp_name,mrs. rachel,Mrs. Rachel,3237,3248,48,7,1,M_46,PROPN
47,exp,exp_name,matthew,Matthew,3352,3359,22,7,1,M_47,PROPN
48,booknlp,COREF,107,him,3449,3452,22,7,1,M_48,Other
49,booknlp,COREF,107,he,3454,3456,22,7,1,M_49,Other
50,booknlp,COREF,107,he,3544,3546,22,7,1,M_50,Other
51,exp,exp_name,matthew,Matthew,3567,3574,22,7,1,M_51,PROPN
52,exp,exp_name,mrs. rachel,Mrs. Rachel,3671,3682,48,7,1,M_52,PROPN
53,booknlp,COREF,105,she,3694,3697,48,7,1,M_53,Other
54,booknlp,COREF,105,her,3734,3737,48,7,1,M_54,Other
55,booknlp,COREF,107,Green Gables,3798,3810,22,8,1,M_55,PROPN
56,pdnc,qID,Q0-0,Marilla,3839,3846,20,8,1,M_56,Other
57,pdnc,qID,Q0-0,he,3853,3855,22,8,1,M_57,Other
58,pdnc,qID,Q0-1,He,3910,3912,22,8,1,M_58,Other
59,pdnc,qID,Q0-1,he,3964,3966,22,8,1,M_59,Other
60,pdnc,qID,Q0-1,he,3986,3988,22,8,1,M_60,Other
61,pdnc,qID,Q0-1,he,4014,4016,22,8,1,M_61,Other
62,pdnc,qID,Q0-1,he,4070,4072,22,8,1,M_62,Other
63,pdnc,qID,Q0-1,him,4185,4188,22,8,1,M_63,Other
64,pdnc,qID,Q0-1,Matthew Cuthbert,4310,4326,22,8,1,M_64,PROPN
65,exp,exp_name,mrs. rachel,Mrs. Rachel,4373,4384,48,9,1,M_65,PROPN
66,booknlp,COREF,105,she,4394,4397,48,9,1,M_66,Other
