,source,idColName,iden,text,startByte,endByte,pdncID,paraID,chapID,mID,mention_type
0,exp,exp_name,daisy miller,DAISY MILLER,0,12,0,1,-1,M_0,PROPN
1,exp,exp_name,winterbourne,Winterbourne,3403,3415,8,6,1,M_1,PROPN
2,booknlp,COREF,43,he,3478,3480,8,6,1,M_2,Other
3,booknlp,COREF,43,he,3524,3526,8,6,1,M_3,Other
4,booknlp,COREF,43,his,3595,3598,8,6,1,M_4,Other
5,booknlp,COREF,43,he,3656,3658,8,6,1,M_5,Other
6,booknlp,COREF,43,him,3717,3720,8,6,1,M_6,Other
7,booknlp,COREF,43,his,3741,3744,8,7,1,M_7,Other
8,booknlp,COREF,43,he,3795,3797,8,7,1,M_8,Other
9,booknlp,COREF,43,he,3840,3842,8,7,1,M_9,Other
10,booknlp,COREF,43,his,3858,3861,8,7,1,M_10,Other
11,booknlp,COREF,43,He,3873,3875,8,7,1,M_11,Other
12,booknlp,COREF,43,his,3893,3896,8,7,1,M_12,Other
13,booknlp,COREF,43,he,3912,3914,8,7,1,M_13,Other
14,booknlp,COREF,43,him,3976,3979,8,7,1,M_14,Other
15,booknlp,COREF,43,he,4070,4072,8,7,1,M_15,Other
16,booknlp,COREF,43,his,4082,4085,8,7,1,M_16,Other
17,exp,exp_name,the child,The child,4191,4200,6,7,1,M_17,PROPN
18,booknlp,COREF,150,his,4225,4228,6,7,1,M_18,Other
19,booknlp,COREF,150,He,4321,4323,6,7,1,M_19,Other
20,booknlp,COREF,150,his,4391,4394,6,7,1,M_20,Other
21,booknlp,COREF,150,he,4423,4425,6,7,1,M_21,Other
22,booknlp,COREF,150,He,4460,4462,6,7,1,M_22,Other
23,booknlp,COREF,150,his,4474,4477,6,7,1,M_23,Other
24,booknlp,COREF,150,he,4527,4529,6,7,1,M_24,Other
25,booknlp,COREF,150,he,4558,4560,6,7,1,M_25,Other
26,exp,exp_name,winterbourne,Winterbourne,4656,4668,8,7,1,M_26,PROPN
27,booknlp,COREF,43,he,4669,4671,8,7,1,M_27,Other
28,booknlp,COREF,43,him,4691,4694,8,7,1,M_28,Other
29,pdnc,qID,Q0-0,you,4750,4753,8,8,1,M_29,Other
30,booknlp,COREF,43,me,4759,4761,8,8,1,M_30,Other
31,booknlp,COREF,43,he,4780,4782,8,8,1,M_31,Other
32,exp,exp_name,winterbourne,Winterbourne,4867,4879,8,9,1,M_32,PROPN
33,booknlp,COREF,43,him,4912,4915,8,9,1,M_33,Other
34,booknlp,COREF,43,his,4926,4929,8,9,1,M_34,Other
35,pdnc,qID,Q1-0,you,5007,5010,6,9,1,M_35,Other
36,booknlp,COREF,43,he,5026,5028,8,9,1,M_36,Other
