,source,idColName,iden,text,startByte,endByte,pdncID,paraID,chapID,mID,mention_type
0,exp,exp_name,emma,EMMA,0,4,0,1,-1,M_0,PROPN
1,exp,exp_name,jane,Jane,9,13,4,2,-1,M_1,PROPN
2,exp,exp_name,emma woodhouse,Emma Woodhouse,49,63,0,5,1,M_2,PROPN
3,booknlp,COREF,94,her,284,287,0,5,1,M_3,Other
4,booknlp,COREF,94,She,290,293,0,6,1,M_4,Other
5,booknlp,COREF,94,her,401,404,0,6,1,M_5,Other
6,booknlp,COREF,94,Her,477,480,0,6,1,M_6,Other
7,booknlp,COREF,94,her,514,517,0,6,1,M_7,Other
8,booknlp,COREF,94,her,583,586,0,6,1,M_8,Other
9,exp,exp_name,miss taylor,Miss Taylor,720,731,15,7,1,M_9,PROPN
10,exp,exp_name,mr. woodhouse,Mr. Woodhouse,740,753,10,7,1,M_10,PROPN
11,exp,exp_name,emma,Emma,848,852,0,7,1,M_11,PROPN
12,exp,exp_name,miss taylor,Miss Taylor,918,929,15,7,1,M_12,PROPN
13,exp,exp_name,emma,Emma,1192,1196,0,7,1,M_13,PROPN
14,booknlp,COREF,94,she,1213,1216,0,7,1,M_14,Other
15,exp,exp_name,miss taylor,Miss Taylor,1241,1252,15,7,1,M_15,PROPN
16,booknlp,COREF,94,her,1289,1292,0,7,1,M_16,Other
17,exp,exp_name,emma,Emma,1326,1330,0,8,1,M_17,PROPN
18,booknlp,COREF,94,her,1384,1387,0,8,1,M_18,Other
19,booknlp,COREF,94,herself,1445,1452,0,8,1,M_19,Other
20,booknlp,COREF,94,her,1509,1512,0,8,1,M_20,Other
21,booknlp,COREF,94,her,1638,1641,0,8,1,M_21,Other
22,exp,exp_name,miss taylor,Miss Taylor,1738,1749,15,9,1,M_22,PROPN
23,exp,exp_name,miss taylor,Miss Taylor,1766,1777,15,9,1,M_23,PROPN
24,exp,exp_name,emma,Emma,1866,1870,0,9,1,M_24,PROPN
25,booknlp,COREF,94,her,1966,1969,0,9,1,M_25,Other
26,booknlp,COREF,94,herself,1981,1988,0,9,1,M_26,Other
27,booknlp,COREF,94,Her,2070,2073,0,9,1,M_27,Other
28,booknlp,COREF,94,she,2135,2138,0,9,1,M_28,Other
29,booknlp,COREF,94,she,2178,2181,0,9,1,M_29,Other
30,booknlp,COREF,94,her,2238,2241,0,10,1,M_30,Other
31,exp,exp_name,mr. weston,Mr. Weston,2250,2260,9,10,1,M_31,PROPN
32,booknlp,COREF,94,she,2442,2445,0,10,1,M_32,Other
33,booknlp,COREF,94,her,2526,2529,0,10,1,M_33,Other
34,exp,exp_name,miss taylor,Miss Taylor,2543,2554,15,10,1,M_34,PROPN
35,booknlp,COREF,94,She,2594,2597,0,10,1,M_35,Other
36,booknlp,COREF,94,her,2607,2610,0,10,1,M_36,Other
37,booknlp,COREF,94,she,2676,2679,0,10,1,M_37,Other
38,booknlp,COREF,94,she,2699,2702,0,10,1,M_38,Other
39,booknlp,COREF,94,her,2719,2722,0,10,1,M_39,Other
40,booknlp,COREF,94,she,2748,2751,0,10,1,M_40,Other
41,booknlp,COREF,94,her,2768,2771,0,10,1,M_41,Other
42,booknlp,COREF,94,her,2799,2802,0,10,1,M_42,Other
43,booknlp,COREF,94,her,2829,2832,0,10,1,M_43,Other
44,exp,exp_name,isabella,Isabella,3028,3036,3,10,1,M_44,PROPN
45,booknlp,COREF,94,She,3125,3128,0,10,1,M_45,Other
46,booknlp,COREF,94,herself,3325,3332,0,10,1,M_46,Other
47,booknlp,COREF,94,hers,3369,3373,0,10,1,M_47,Other
48,booknlp,COREF,94,she,3387,3390,0,10,1,M_48,Other
49,booknlp,COREF,94,her,3464,3467,0,10,1,M_49,Other
50,booknlp,COREF,94,she,3504,3507,0,11,1,M_50,Other
51,booknlp,COREF,94,her,3546,3549,0,11,1,M_51,Other
52,exp,exp_name,emma,Emma,3599,3603,0,11,1,M_52,PROPN
53,exp,exp_name,mrs. weston,Mrs. Weston,3658,3669,15,11,1,M_53,PROPN
54,exp,exp_name,miss taylor,Miss Taylor,3705,3716,15,11,1,M_54,PROPN
55,booknlp,COREF,94,her,3744,3747,0,11,1,M_55,Other
56,booknlp,COREF,94,she,3782,3785,0,11,1,M_56,Other
57,booknlp,COREF,94,She,3851,3854,0,11,1,M_57,Other
58,booknlp,COREF,94,her,3868,3871,0,11,1,M_58,Other
59,booknlp,COREF,94,her,3908,3911,0,11,1,M_59,Other
60,booknlp,COREF,94,her,3931,3934,0,11,1,M_60,Other
61,exp,exp_name,mr. woodhouse,Mr. Woodhouse,4026,4039,10,12,1,M_61,PROPN
62,booknlp,COREF,94,Her,4387,4390,0,13,1,M_62,Other
63,booknlp,COREF,94,her,4518,4521,0,13,1,M_63,Other
64,exp,exp_name,isabella,Isabella,4665,4673,3,13,1,M_64,PROPN
65,booknlp,COREF,87,her,4678,4681,3,13,1,M_65,Other
66,booknlp,COREF,94,her,4746,4749,0,13,1,M_66,Other
67,booknlp,COREF,94,her,4951,4954,0,14,1,M_67,Other
68,booknlp,COREF,94,She,5037,5040,0,14,1,M_68,Other
69,booknlp,COREF,94,her,5081,5084,0,14,1,M_69,Other
70,exp,exp_name,miss taylor,Miss Taylor,5171,5182,15,14,1,M_70,PROPN
71,exp,exp_name,emma,Emma,5236,5240,0,14,1,M_71,PROPN
72,booknlp,COREF,94,her,5306,5309,0,14,1,M_72,Other
73,exp,exp_name,miss taylor,Miss Taylor,5798,5809,15,14,1,M_73,PROPN
74,exp,exp_name,miss taylor,Miss Taylor,5983,5994,15,14,1,M_74,PROPN
75,exp,exp_name,emma,Emma,6141,6145,0,14,1,M_75,PROPN
76,booknlp,COREF,94,she,6182,6185,0,14,1,M_76,Other
77,pdnc,qID,Q0-0,Poor Miss Taylor,6317,6333,15,15,1,M_77,Other
78,pdnc,qID,Q0-0,she,6343,6346,15,15,1,M_78,Other
79,pdnc,qID,Q0-0,Mr. Weston,6387,6397,9,15,1,M_79,PROPN
80,pdnc,qID,Q0-0,her,6414,6417,15,15,1,M_80,Other
81,pdnc,qID,Q1-0,papa,6447,6451,10,16,1,M_81,Other
82,pdnc,qID,Q1-0,you,6453,6456,10,16,1,M_82,Other
83,pdnc,qID,Q1-0,Mr. Weston,6472,6482,9,16,1,M_83,PROPN
84,pdnc,qID,Q1-0,he,6538,6540,9,16,1,M_84,Other
85,pdnc,qID,Q1-0,you,6579,6582,10,16,1,M_85,Other
86,pdnc,qID,Q1-0,Miss Taylor,6602,6613,15,16,1,M_86,PROPN
87,pdnc,qID,Q1-0,she,6671,6674,15,16,1,M_87,Other
88,pdnc,qID,Q1-0,her,6697,6700,15,16,1,M_88,Other
89,pdnc,qID,Q2-0,her,6720,6723,15,17,1,M_89,Other
90,pdnc,qID,Q2-0,her,6771,6774,15,17,1,M_90,Other
91,pdnc,qID,Q2-0,you,6815,6818,0,17,1,M_91,Other
92,pdnc,qID,Q2-0,my dear,6847,6854,0,17,1,M_92,Other
93,pdnc,qID,Q4-0,My dear,7020,7027,0,19,1,M_93,Other
94,pdnc,qID,Q5-0,papa,7119,7123,10,20,1,M_94,Other
95,pdnc,qID,Q5-0,your,7143,7147,10,20,1,M_95,Other
96,pdnc,qID,Q7-0,Mr. Weston,7377,7387,9,22,1,M_96,PROPN
97,pdnc,qID,Q7-0,papa,7398,7402,10,22,1,M_97,Other
98,pdnc,qID,Q7-0,You,7404,7407,10,22,1,M_98,Other
99,pdnc,qID,Q7-0,we,7413,7415,0,22,1,M_99,Other
100,pdnc,qID,Q7-0,We,7447,7449,0,22,1,M_100,Other
101,pdnc,qID,Q7-0,Mr. Weston,7474,7484,9,22,1,M_101,PROPN
102,pdnc,qID,Q7-0,you,7515,7518,10,22,1,M_102,Other
103,booknlp,COREF,86,he,7536,7538,9,22,1,M_103,Other
104,booknlp,COREF,86,his,7586,7589,9,22,1,M_104,Other
105,booknlp,COREF,86,he,7645,7647,9,22,1,M_105,Other
106,pdnc,qID,Q7-0,your,7690,7694,10,22,1,M_106,Other
107,pdnc,qID,Q7-0,papa,7702,7706,10,22,1,M_107,Other
108,pdnc,qID,Q7-0,You,7708,7711,10,22,1,M_108,Other
109,pdnc,qID,Q7-0,you,7770,7773,10,22,1,M_109,Other
110,pdnc,qID,Q7-0,you,7812,7815,10,22,1,M_110,Other
111,pdnc,qID,Q8-0,poor Miss Taylor,8363,8379,15,23,1,M_111,Other
112,pdnc,qID,Q8-0,her,8403,8406,15,23,1,M_112,Other
113,pdnc,qID,Q8-0,she,8412,8415,15,23,1,M_113,Other
114,pdnc,qID,Q8-0,you,8478,8481,0,23,1,M_114,Other
115,pdnc,qID,Q8-0,she,8488,8491,15,23,1,M_115,Other
