,source,idColName,iden,text,startByte,endByte,pdncID,paraID,chapID,mID,mention_type
0,exp,exp_name,helen,Helen,73,78,16,4,1,M_0,PROPN
1,exp,exp_name,meg,Meg,143,146,25,7,1,M_1,PROPN
2,exp,exp_name,paul,Paul,325,329,34,8,1,M_2,PROPN
3,exp,exp_name,mrs. wilcox,Mrs. Wilcox,1347,1358,32,9,1,M_3,PROPN
4,exp,exp_name,mr. wilcox,Mr. Wilcox,1410,1420,17,9,1,M_4,PROPN
5,exp,exp_name,tibby,Tibby,1592,1597,45,10,1,M_5,PROPN
6,booknlp,COREF,259,he,1615,1617,45,10,1,M_6,Other
7,booknlp,COREF,259,he,1669,1671,45,10,1,M_7,Other
8,booknlp,COREF,259,he,1714,1716,45,10,1,M_8,Other
9,booknlp,COREF,259,him,1803,1806,45,10,1,M_9,Other
10,exp,exp_name,charles wilcox,Charles Wilcox,1812,1826,8,10,1,M_10,PROPN
11,exp,exp_name,tibby,Tibby,1962,1967,45,10,1,M_11,PROPN
12,exp,exp_name,mrs. wilcox,Mrs. Wilcox,2193,2204,32,11,1,M_12,PROPN
13,exp,exp_name,charles wilcox,Charles Wilcox,2728,2742,8,11,1,M_13,PROPN
14,exp,exp_name,mr. wilcox,Mr. Wilcox,2869,2879,17,11,1,M_14,PROPN
15,exp,exp_name,evie,Evie,2949,2953,14,11,1,M_15,PROPN
16,booknlp,COREF,262,she,3091,3094,14,11,1,M_16,Other
17,booknlp,COREF,262,she,3119,3122,14,11,1,M_17,Other
18,exp,exp_name,mrs. wilcox,Mrs. Wilcox,3141,3152,32,11,1,M_18,PROPN
19,exp,exp_name,meg,Meg,3428,3431,25,11,1,M_19,PROPN
20,exp,exp_name,mrs. wilcox,Mrs. Wilcox,3564,3575,32,11,1,M_20,PROPN
21,exp,exp_name,mrs. wilcox,Mrs. Wilcox,3634,3645,32,12,1,M_21,PROPN
22,exp,exp_name,evie,Evie,3670,3674,14,12,1,M_22,PROPN
23,exp,exp_name,tibby,Tibby,4161,4166,45,12,1,M_23,PROPN
24,exp,exp_name,aunt juley,Aunt Juley,4176,4186,6,12,1,M_24,PROPN
25,booknlp,COREF,263,her,4200,4203,6,12,1,M_25,Other
26,exp,exp_name,helen,HELEN,4292,4297,16,13,1,M_26,PROPN
27,exp,exp_name,meg,Meg,4337,4340,25,16,1,M_27,PROPN
28,exp,exp_name,mrs. wilcox,Mrs. Wilcox,4391,4402,32,17,1,M_28,PROPN
29,exp,exp_name,mr. wilcox,Mr. Wilcox,4757,4767,17,17,1,M_29,PROPN
30,exp,exp_name,meg,Meg,5033,5036,25,17,1,M_30,PROPN
31,exp,exp_name,mr. wilcox,Mr. Wilcox,5458,5468,17,17,1,M_31,PROPN
32,exp,exp_name,charles,Charles,5588,5595,8,17,1,M_32,PROPN
33,exp,exp_name,evie,Evie,5866,5870,14,17,1,M_33,PROPN
34,exp,exp_name,helen,HELEN,6093,6098,16,19,1,M_34,PROPN
35,exp,exp_name,meg,Meg,6149,6152,25,22,1,M_35,PROPN
36,exp,exp_name,paul,Paul,6188,6192,34,22,1,M_36,PROPN
37,exp,exp_name,margaret,Margaret,6274,6282,25,24,2,M_37,PROPN
38,pdnc,qID,Q0-0,you,6437,6440,6,25,2,M_38,Other
39,pdnc,qID,Q0-0,Aunt Juley,6450,6460,6,25,2,M_39,PROPN
40,pdnc,qID,Q0-0,you,6482,6485,6,25,2,M_40,Other
41,pdnc,qID,Q0-0,the father and mother,6510,6531,17,25,2,M_41,Other
42,pdnc,qID,Q0-0,their son,6593,6602,34,25,2,M_42,Other
43,pdnc,qID,Q2-0,Aunt Juley,6718,6728,6,27,2,M_43,PROPN
44,pdnc,qID,Q3-0,Margaret,6749,6757,25,28,2,M_44,PROPN
45,pdnc,qID,Q3-0,dear,6759,6763,25,28,2,M_45,Other
46,pdnc,qID,Q5-0,Margaret,6877,6885,25,30,2,M_46,PROPN
47,pdnc,qID,Q5-0,dear,6887,6891,25,30,2,M_47,Other
48,pdnc,qID,Q6-0,her,6909,6912,16,31,2,M_48,Other
49,exp,exp_name,margaret,Margaret,6934,6942,25,31,2,M_49,PROPN
50,pdnc,qID,Q6-1,Helen,7092,7097,16,31,2,M_50,PROPN
51,pdnc,qID,Q7-0,Margaret,7409,7417,25,32,2,M_51,PROPN
52,pdnc,qID,Q8-0,Helen,7877,7882,16,33,2,M_52,PROPN
53,pdnc,qID,Q8-0,Helen,8051,8056,16,33,2,M_53,PROPN
54,pdnc,qID,Q8-0,Tibby,8110,8115,45,33,2,M_54,PROPN
55,pdnc,qID,Q8-0,she,8155,8158,16,33,2,M_55,Other
56,pdnc,qID,Q8-0,You,8183,8186,6,33,2,M_56,Other
57,pdnc,qID,Q8-0,a young man,8218,8229,34,33,2,M_57,Other
58,pdnc,qID,Q8-0,She,8250,8253,16,33,2,M_58,Other
59,exp,exp_name,mrs. munt,Mrs. Munt,9105,9114,6,36,2,M_59,PROPN
60,booknlp,COREF,264,her,9119,9122,6,36,2,M_60,Other
61,booknlp,COREF,264,her,9150,9153,6,36,2,M_61,Other
62,booknlp,COREF,264,She,9162,9165,6,36,2,M_62,Other
63,exp,exp_name,margaret,Margaret,9179,9187,25,36,2,M_63,PROPN
64,booknlp,COREF,264,she,9288,9291,6,36,2,M_64,Other
65,booknlp,COREF,264,she,9359,9362,6,36,2,M_65,Other
66,booknlp,COREF,264,her,9408,9411,6,36,2,M_66,Other
67,booknlp,COREF,264,she,9505,9508,6,36,2,M_67,Other
68,exp,exp_name,margaret,Margaret,9624,9632,25,37,2,M_68,PROPN
69,booknlp,COREF,264,I,9703,9704,6,38,2,M_69,Other
70,exp,exp_name,mrs. munt,Mrs. Munt,9744,9753,6,38,2,M_70,PROPN
71,exp,exp_name,margaret,Margaret,9791,9799,25,39,2,M_71,PROPN
72,booknlp,COREF,264,me,9856,9858,6,40,2,M_72,Other
73,pdnc,qID,Q12-0,Helen,9860,9865,16,40,2,M_73,PROPN
74,pdnc,qID,Q13-0,Aunt Juley,9887,9897,6,41,2,M_74,PROPN
75,pdnc,qID,Q13-0,Helen,9929,9934,16,41,2,M_75,PROPN
76,pdnc,qID,Q13-0,her,9976,9979,16,41,2,M_76,Other
77,pdnc,qID,Q13-0,her,10001,10004,16,41,2,M_77,Other
78,exp,exp_name,mrs. munt,Mrs. Munt,10073,10082,6,42,2,M_78,PROPN
79,booknlp,COREF,264,her,10099,10102,6,42,2,M_79,Other
80,pdnc,qID,Q14-1,Margaret,10141,10149,25,42,2,M_80,PROPN
81,booknlp,COREF,264,I,10154,10155,6,42,2,M_81,Other
82,pdnc,qID,Q14-1,you,10207,10210,25,42,2,M_82,Other
83,pdnc,qID,Q14-1,Helen,10299,10304,16,42,2,M_83,PROPN
84,booknlp,COREF,264,my,10316,10318,6,42,2,M_84,Other
85,pdnc,qID,Q14-1,you,10422,10425,25,42,2,M_85,Other
86,pdnc,qID,Q14-1,the son,10497,10504,34,42,2,M_86,Other
87,pdnc,qID,Q14-1,She,10509,10512,16,42,2,M_87,Other
88,pdnc,qID,Q14-1,he,10539,10541,34,42,2,M_88,Other
89,pdnc,qID,Q14-1,he,10572,10574,34,42,2,M_89,Other
90,pdnc,qID,Q14-1,Helen,10590,10595,16,42,2,M_90,PROPN
91,pdnc,qID,Q14-1,you,10607,10610,25,42,2,M_91,Other
92,pdnc,qID,Q17-0,you,10738,10741,6,46,2,M_92,Other
93,pdnc,qID,Q19-0,Helen,10809,10814,16,48,2,M_93,PROPN
94,exp,exp_name,margaret,Margaret,10875,10883,25,50,2,M_94,PROPN
95,exp,exp_name,helen,Helen,11221,11226,16,50,2,M_95,PROPN
96,booknlp,COREF,264,I,11344,11345,6,51,2,M_96,Other
97,exp,exp_name,mrs. munt,Mrs. Munt,11381,11390,6,51,2,M_97,PROPN
98,pdnc,qID,Q21-1,you,11468,11471,25,51,2,M_98,Other
99,booknlp,COREF,264,I,11500,11501,6,51,2,M_99,Other
100,pdnc,qID,Q21-1,you,11507,11510,25,51,2,M_100,Other
101,pdnc,qID,Q21-1,Dear,11569,11573,25,51,2,M_101,Other
102,booknlp,COREF,264,I,11575,11576,6,51,2,M_102,Other
103,booknlp,COREF,264,me,11598,11600,6,51,2,M_103,Other
104,booknlp,COREF,264,She,11619,11622,6,51,2,M_104,Other
105,booknlp,COREF,264,her,11634,11637,6,51,2,M_105,Other
106,booknlp,COREF,264,I,11651,11652,6,51,2,M_106,Other
107,pdnc,qID,Q21-2,your,11663,11667,25,51,2,M_107,Other
108,booknlp,COREF,264,me,11682,11684,6,51,2,M_108,Other
109,booknlp,COREF,264,I,11718,11719,6,51,2,M_109,Other
110,pdnc,qID,Q21-2,you,11738,11741,25,51,2,M_110,Other
111,pdnc,qID,Q22-0,Aunt Juley,11746,11756,6,52,2,M_111,PROPN
112,pdnc,qID,Q23-0,You,11829,11832,6,52,2,M_112,Other
113,pdnc,qID,Q23-0,you,11884,11887,6,52,2,M_113,Other
114,booknlp,COREF,264,I,11914,11915,6,53,2,M_114,Other
115,exp,exp_name,mrs. munt,Mrs. Munt,11941,11950,6,53,2,M_115,PROPN
116,booknlp,COREF,264,I,11978,11979,6,53,2,M_116,Other
117,booknlp,COREF,264,I,12071,12072,6,53,2,M_117,Other
118,pdnc,qID,Q24-1,You,12094,12097,25,53,2,M_118,Other
119,pdnc,qID,Q24-1,you,12140,12143,25,53,2,M_119,Other
120,pdnc,qID,Q24-1,your,12154,12158,25,53,2,M_120,Other
121,pdnc,qID,Q24-1,Helen,12171,12176,16,53,2,M_121,PROPN
122,pdnc,qID,Q24-1,you,12189,12192,25,53,2,M_122,Other
123,pdnc,qID,Q24-1,your,12251,12255,25,53,2,M_123,Other
124,pdnc,qID,Q25-0,Helen,12354,12359,16,54,2,M_124,PROPN
125,pdnc,qID,Q25-0,she,12375,12378,16,54,2,M_125,Other
126,pdnc,qID,Q25-0,she,12441,12444,16,54,2,M_126,Other
127,pdnc,qID,Q25-0,you,12515,12518,6,54,2,M_127,Other
128,pdnc,qID,Q25-0,Aunt Juley,12579,12589,6,54,2,M_128,PROPN
129,booknlp,COREF,264,she,12602,12605,6,55,2,M_129,Other
130,booknlp,COREF,264,she,12814,12817,6,55,2,M_130,Other
131,booknlp,COREF,264,her,12833,12836,6,55,2,M_131,Other
132,pdnc,qID,Q26-0,Helen,12861,12866,16,56,2,M_132,PROPN
133,booknlp,COREF,264,me,12891,12893,6,56,2,M_133,Other
134,pdnc,qID,Q27-0,Dear Margaret,12943,12956,25,57,2,M_134,PROPN
135,pdnc,qID,Q27-0,Your,13002,13006,25,57,2,M_135,Other
136,pdnc,qID,Q28-0,she,13056,13059,16,58,2,M_136,Other
137,exp,exp_name,the man,the man,13080,13087,40,58,2,M_137,PROPN
138,booknlp,COREF,264,I,13119,13120,6,58,2,M_138,Other
139,booknlp,COREF,264,her,13194,13197,6,58,2,M_139,Other
140,booknlp,COREF,264,she,13208,13211,6,58,2,M_140,Other
141,booknlp,COREF,264,she,13277,13280,6,58,2,M_141,Other
142,booknlp,COREF,264,she,13308,13311,6,58,2,M_142,Other
143,booknlp,COREF,264,I,13358,13359,6,58,2,M_143,Other
144,booknlp,COREF,264,I,13412,13413,6,58,2,M_144,Other
145,booknlp,COREF,264,I,13427,13428,6,59,2,M_145,Other
146,exp,exp_name,mrs. munt,Mrs. Munt,13452,13461,6,59,2,M_146,PROPN
147,booknlp,COREF,264,I,13477,13478,6,59,2,M_147,Other
148,pdnc,qID,Q29-1,you,13499,13502,25,59,2,M_148,Other
149,pdnc,qID,Q29-1,you,13525,13528,25,59,2,M_149,Other
150,booknlp,COREF,264,I,13573,13574,6,59,2,M_150,Other
151,pdnc,qID,Q29-1,you,13623,13626,25,59,2,M_151,Other
152,pdnc,qID,Q29-1,Helen,13662,13667,16,59,2,M_152,PROPN
153,exp,exp_name,margaret,Margaret,13804,13812,25,60,2,M_153,PROPN
154,pdnc,qID,Q30-0,you,13837,13840,6,61,2,M_154,Other
155,booknlp,COREF,264,I,13901,13902,6,62,2,M_155,Other
156,pdnc,qID,Q32-0,you,13946,13949,6,63,2,M_156,Other
157,pdnc,qID,Q34-0,you,14247,14250,25,64,2,M_157,Other
158,pdnc,qID,Q34-0,you,14299,14302,25,64,2,M_158,Other
159,exp,exp_name,margaret,Margaret,14474,14482,25,65,2,M_159,PROPN
160,exp,exp_name,helen,Helen,14983,14988,16,68,2,M_160,PROPN
161,exp,exp_name,the doctor,the doctor,15178,15188,24,68,2,M_161,PROPN
162,exp,exp_name,tibby,Tibby,15212,15217,45,68,2,M_162,PROPN
163,exp,exp_name,aunt juley,Aunt Juley,15267,15277,6,68,2,M_163,PROPN
164,booknlp,COREF,263,her,15304,15307,6,68,2,M_164,Other
165,exp,exp_name,margaret,Margaret,15352,15360,25,69,2,M_165,PROPN
166,pdnc,qID,Q35-0,you,15521,15524,6,69,2,M_166,Other
167,exp,exp_name,tibby,Tibby,15601,15606,45,70,2,M_167,PROPN
168,exp,exp_name,margaret,Margaret,15652,15660,25,70,2,M_168,PROPN
169,pdnc,qID,Q36-0,You,15706,15709,6,71,2,M_169,Other
170,pdnc,qID,Q36-0,Aunt Juley,15725,15735,6,71,2,M_170,PROPN
171,pdnc,qID,Q36-0,Helen,15803,15808,16,71,2,M_171,PROPN
172,pdnc,qID,Q36-0,you,15827,15830,6,71,2,M_172,Other
173,exp,exp_name,mrs. munt,Mrs. Munt,16019,16028,6,72,2,M_173,PROPN
174,booknlp,COREF,264,she,16043,16046,6,72,2,M_174,Other
175,pdnc,qID,Q38-0,you,16144,16147,6,73,2,M_175,Other
176,pdnc,qID,Q38-0,Helen,16185,16190,16,73,2,M_176,PROPN
177,pdnc,qID,Q39-0,Helen,16205,16210,16,74,2,M_177,PROPN
178,exp,exp_name,margaret,Margaret,16292,16300,25,75,2,M_178,PROPN
179,exp,exp_name,margaret,Margaret,17317,17325,25,77,2,M_179,PROPN
180,exp,exp_name,margaret,Margaret,17870,17878,25,77,2,M_180,PROPN
181,exp,exp_name,mrs. munt,Mrs. Munt,17986,17995,6,77,2,M_181,PROPN
182,booknlp,COREF,264,she,18004,18007,6,77,2,M_182,Other
183,exp,exp_name,margaret,Margaret,18194,18202,25,77,2,M_183,PROPN
184,exp,exp_name,helen,HELEN,18333,18338,16,78,2,M_184,PROPN
185,exp,exp_name,aunt juley,Aunt Juley,18346,18356,6,79,2,M_185,PROPN
186,booknlp,COREF,263,her,18418,18421,6,79,2,M_186,Other
187,exp,exp_name,mrs. munt,Mrs. Munt,18461,18470,6,81,3,M_187,PROPN
188,booknlp,COREF,264,her,18480,18483,6,81,3,M_188,Other
189,booknlp,COREF,264,Her,18493,18496,6,81,3,M_189,Other
190,booknlp,COREF,264,she,18560,18563,6,81,3,M_190,Other
191,exp,exp_name,emily,Emily,18587,18592,12,81,3,M_191,PROPN
192,exp,exp_name,tibby,Tibby,18679,18684,45,81,3,M_192,PROPN
193,exp,exp_name,helen,Helen,18700,18705,16,81,3,M_193,PROPN
194,exp,exp_name,margaret,Margaret,18719,18727,25,81,3,M_194,PROPN
