,source,idColName,iden,text,startByte,endByte,pdncID,paraID,chapID,mID,mention_type
0,exp,exp_name,catherine morland,Catherine Morland,71,88,0,4,1,M_0,PROPN
1,exp,exp_name,catherine,Catherine,700,709,0,4,1,M_1,PROPN
2,exp,exp_name,catherine,Catherine,1149,1158,0,4,1,M_2,PROPN
3,booknlp,COREF,80,Sally,2133,2138,17,4,1,M_3,PROPN
4,exp,exp_name,catherine,Catherine,2183,2192,0,4,1,M_4,PROPN
5,exp,exp_name,catherine,Catherine,2353,2362,0,4,1,M_5,PROPN
6,exp,exp_name,mrs. morland,Mrs. Morland,2543,2555,15,4,1,M_6,PROPN
7,booknlp,COREF,82,her,2579,2582,15,4,1,M_7,Other
8,exp,exp_name,catherine,Catherine,2742,2751,0,4,1,M_8,PROPN
9,exp,exp_name,catherine morland,Catherine Morland,3647,3664,0,5,1,M_9,PROPN
10,exp,exp_name,catherine,Catherine,4099,4108,0,5,1,M_10,PROPN
11,exp,exp_name,mrs. morland,Mrs. Morland,4432,4444,15,6,1,M_11,PROPN
12,booknlp,COREF,82,her,4486,4489,15,6,1,M_12,Other
13,booknlp,COREF,82,her,4532,4535,15,6,1,M_13,Other
14,booknlp,COREF,82,her,4609,4612,15,6,1,M_14,Other
15,exp,exp_name,catherine,Catherine,4710,4719,0,6,1,M_15,PROPN
16,exp,exp_name,mr. allen,Mr. Allen,7501,7510,10,21,1,M_16,PROPN
17,booknlp,COREF,89,his,7680,7683,10,21,1,M_17,Other
18,exp,exp_name,miss morland,Miss Morland,7721,7733,0,21,1,M_18,PROPN
19,exp,exp_name,mrs. morland,Mrs. Morland,7886,7898,15,21,1,M_19,PROPN
20,exp,exp_name,catherine,Catherine,7924,7933,0,21,1,M_20,PROPN
21,exp,exp_name,catherine morland,Catherine Morland,8010,8027,0,23,2,M_21,PROPN
22,exp,exp_name,mrs. morland,Mrs. Morland,8712,8724,15,24,2,M_22,PROPN
23,booknlp,COREF,82,her,8816,8819,15,24,2,M_23,Other
24,exp,exp_name,catherine,Catherine,8828,8837,0,24,2,M_24,PROPN
25,booknlp,COREF,82,her,8881,8884,15,24,2,M_25,Other
26,booknlp,COREF,82,her,8915,8918,15,24,2,M_26,Other
27,booknlp,COREF,82,her,9057,9060,15,24,2,M_27,Other
28,booknlp,COREF,82,her,9102,9105,15,24,2,M_28,Other
29,booknlp,COREF,82,her,9288,9291,15,24,2,M_29,Other
30,exp,exp_name,mrs. morland,Mrs. Morland,9327,9339,15,24,2,M_30,PROPN
31,booknlp,COREF,82,she,9383,9386,15,24,2,M_31,Other
32,booknlp,COREF,82,her,9484,9487,15,24,2,M_32,Other
33,booknlp,COREF,82,Her,9522,9525,15,24,2,M_33,Other
34,booknlp,COREF,82,I,9575,9576,15,24,2,M_34,Other
35,pdnc,qID,Q0-0,Catherine,9582,9591,0,24,2,M_35,PROPN
36,pdnc,qID,Q0-0,you,9593,9596,0,24,2,M_36,Other
37,pdnc,qID,Q0-0,you,9659,9662,0,24,2,M_37,Other
38,booknlp,COREF,82,I,9697,9698,15,24,2,M_38,Other
39,pdnc,qID,Q0-0,you,9704,9707,0,24,2,M_39,Other
40,pdnc,qID,Q0-0,you,9752,9755,0,24,2,M_40,Other
41,booknlp,COREF,82,I,9763,9764,15,24,2,M_41,Other
42,pdnc,qID,Q0-0,you,9775,9778,0,24,2,M_42,Other
43,booknlp,COREF,80,Sally,9810,9815,17,25,2,M_43,PROPN
44,exp,exp_name,sarah,Sarah,9827,9832,17,25,2,M_44,PROPN
45,booknlp,COREF,80,her,10025,10028,17,25,2,M_45,Other
