,source,idColName,iden,text,startByte,endByte,pdncID,paraID,chapID,mID,mention_type
0,exp,exp_name,sir walter elliot,Sir Walter Elliot,53,70,26,6,1,M_0,PROPN
1,exp,exp_name,kellynch hall,Kellynch Hall,75,88,10,6,1,M_1,PROPN
2,exp,exp_name,kellynch hall,KELLYNCH HALL,765,778,10,7,1,M_2,PROPN
3,exp,exp_name,walter elliot,Walter Elliot,783,796,26,8,1,M_3,PROPN
4,exp,exp_name,elizabeth,Elizabeth,842,851,8,8,1,M_4,PROPN
5,exp,exp_name,elizabeth,Elizabeth,974,983,8,8,1,M_5,PROPN
6,exp,exp_name,anne,Anne,1004,1008,1,8,1,M_6,PROPN
7,exp,exp_name,mary,Mary,1067,1071,16,8,1,M_7,PROPN
8,exp,exp_name,sir walter,Sir Walter,1179,1189,26,9,1,M_8,PROPN
9,exp,exp_name,mary,Mary,1295,1299,16,9,1,M_9,PROPN
10,exp,exp_name,charles,Charles,1339,1346,13,9,1,M_10,PROPN
11,exp,exp_name,charles musgrove,Charles Musgrove,1364,1380,6,9,1,M_11,PROPN
12,exp,exp_name,charles,Charles,1838,1845,13,10,1,M_12,PROPN
13,exp,exp_name,kellynch hall,Kellynch Hall,2009,2022,10,10,1,M_13,PROPN
14,exp,exp_name,sir walter,Sir Walter,2056,2066,26,10,1,M_14,PROPN
15,exp,exp_name,william walter elliot,William Walter Elliot,2125,2146,30,11,1,M_15,PROPN
16,exp,exp_name,sir walter,Sir Walter,2183,2193,26,11,1,M_16,PROPN
17,exp,exp_name,sir walter elliot,Sir Walter Elliot,2237,2254,26,12,1,M_17,PROPN
18,exp,exp_name,sir walter elliot,Sir Walter Elliot,2656,2673,26,12,1,M_18,PROPN
19,booknlp,COREF,6,Kellynch,3850,3858,10,13,1,M_19,PROPN
20,exp,exp_name,sir walter,Sir Walter,4060,4070,26,14,1,M_20,PROPN
21,exp,exp_name,lady russell,Lady Russell,4330,4342,12,15,1,M_21,PROPN
22,exp,exp_name,sir walter,Sir Walter,4594,4604,26,15,1,M_22,PROPN
23,exp,exp_name,sir walter,Sir Walter,4678,4688,26,15,1,M_23,PROPN
24,exp,exp_name,elizabeth,Elizabeth,4983,4992,8,15,1,M_24,PROPN
25,booknlp,COREF,91,her,5049,5052,8,15,1,M_25,Other
26,booknlp,COREF,91,her,5134,5137,8,15,1,M_26,Other
27,exp,exp_name,mary,Mary,5269,5273,16,15,1,M_27,PROPN
28,exp,exp_name,charles musgrove,Charles Musgrove,5335,5351,6,15,1,M_28,PROPN
29,exp,exp_name,anne,Anne,5357,5361,1,15,1,M_29,PROPN
30,exp,exp_name,anne,Anne,5605,5609,1,15,1,M_30,PROPN
31,exp,exp_name,lady russell,Lady Russell,5615,5627,12,16,1,M_31,PROPN
32,booknlp,COREF,101,she,5637,5640,12,16,1,M_32,Other
33,exp,exp_name,lady russell,Lady Russell,5713,5725,12,16,1,M_33,PROPN
34,exp,exp_name,anne,Anne,5761,5765,1,16,1,M_34,PROPN
35,booknlp,COREF,101,she,5771,5774,12,16,1,M_35,Other
36,exp,exp_name,anne elliot,Anne Elliot,5836,5847,1,17,1,M_36,PROPN
37,exp,exp_name,elizabeth,Elizabeth,6311,6320,8,17,1,M_37,PROPN
38,exp,exp_name,mary,Mary,6326,6330,16,17,1,M_38,PROPN
39,booknlp,COREF,94,herself,6352,6359,16,17,1,M_39,Other
40,exp,exp_name,elizabeth,Elizabeth,6482,6491,8,17,1,M_40,PROPN
41,exp,exp_name,elizabeth,Elizabeth,6776,6785,8,18,1,M_41,PROPN
42,exp,exp_name,miss elliot,Miss Elliot,6811,6822,17,18,1,M_42,PROPN
43,exp,exp_name,sir walter,Sir Walter,6872,6882,26,18,1,M_43,PROPN
44,exp,exp_name,elizabeth,Elizabeth,7002,7011,8,18,1,M_44,PROPN
45,exp,exp_name,anne,Anne,7179,7183,1,18,1,M_45,PROPN
46,exp,exp_name,mary,Mary,7193,7197,16,18,1,M_46,PROPN
47,exp,exp_name,lady russell,Lady Russell,7296,7308,12,18,1,M_47,PROPN
48,exp,exp_name,elizabeth,Elizabeth,7353,7362,8,19,1,M_48,PROPN
49,booknlp,COREF,91,her,7383,7386,8,19,1,M_49,Other
50,booknlp,COREF,91,her,7443,7446,8,19,1,M_50,Other
51,exp,exp_name,kellynch hall,Kellynch Hall,7459,7472,10,19,1,M_51,PROPN
52,booknlp,COREF,91,her,7575,7578,8,19,1,M_52,Other
53,booknlp,COREF,91,she,7598,7601,8,19,1,M_53,Other
54,booknlp,COREF,91,she,7631,7634,8,19,1,M_54,Other
55,exp,exp_name,lady russell,Lady Russell,7775,7787,12,19,1,M_55,PROPN
56,booknlp,COREF,91,her,7895,7898,8,19,1,M_56,Other
57,booknlp,COREF,91,she,8013,8016,8,19,1,M_57,Other
