,source,idColName,iden,text,startByte,endByte,pdncID,paraID,chapID,mID,mention_type
0,pdnc,qID,Q0-0,My dear Mr. Bennet,395,413,16,4,1,M_0,Other
1,pdnc,qID,Q0-1,you,452,455,16,4,1,M_1,Other
2,exp,exp_name,mr. bennet,Mr. Bennet,502,512,16,5,1,M_2,PROPN
3,booknlp,COREF,86,he,526,528,16,5,1,M_3,Other
4,pdnc,qID,Q1-1,Mrs. Long,571,580,31,6,1,M_4,PROPN
5,pdnc,qID,Q1-1,she,605,608,31,6,1,M_5,Other
6,exp,exp_name,mr. bennet,Mr. Bennet,633,643,16,7,1,M_6,PROPN
7,pdnc,qID,Q2-0,you,669,672,16,8,1,M_7,Other
8,pdnc,qID,Q3-0,You,736,739,25,9,1,M_8,Other
9,pdnc,qID,Q4-0,my dear,834,841,16,11,1,M_9,Other
10,pdnc,qID,Q4-0,you,843,846,16,11,1,M_10,Other
11,pdnc,qID,Q4-0,Mrs. Long,858,867,31,11,1,M_11,PROPN
12,pdnc,qID,Q4-0,a young man,902,913,17,11,1,M_12,Other
13,pdnc,qID,Q4-0,he,963,965,17,11,1,M_13,Other
14,pdnc,qID,Q4-0,he,1064,1066,17,11,1,M_14,Other
15,pdnc,qID,Q4-0,Mr. Morris,1079,1089,71,11,1,M_15,PROPN
16,pdnc,qID,Q4-0,he,1108,1110,17,11,1,M_16,Other
17,pdnc,qID,Q4-0,his,1164,1167,17,11,1,M_17,Other
18,pdnc,qID,Q5-0,his,1236,1239,17,12,1,M_18,Other
19,pdnc,qID,Q6-0,Bingley,1249,1256,17,13,1,M_19,PROPN
20,pdnc,qID,Q7-0,he,1264,1266,17,14,1,M_20,Other
21,pdnc,qID,Q8-0,my dear,1301,1308,16,15,1,M_21,Other
22,pdnc,qID,Q10-0,Mr. Bennet,1462,1472,16,17,1,M_22,PROPN
23,pdnc,qID,Q10-1,you,1502,1505,16,17,1,M_23,Other
24,booknlp,COREF,86,You,1522,1525,16,17,1,M_24,Other
25,pdnc,qID,Q10-1,his,1558,1561,17,17,1,M_25,Other
26,pdnc,qID,Q11-0,his,1595,1598,17,18,1,M_26,Other
27,pdnc,qID,Q12-0,you,1653,1656,16,19,1,M_27,Other
