,source,idColName,iden,text,startByte,endByte,pdncID,paraID,chapID,mID,mention_type
0,exp,exp_name,sherlock holmes,Sherlock Holmes,36,51,14,2,1,M_0,PROPN
1,booknlp,COREF,105,his,57,60,14,2,1,M_1,Other
2,booknlp,COREF,105,his,108,111,14,2,1,M_2,Other
3,booknlp,COREF,105,his,164,167,14,2,1,M_3,Other
4,booknlp,COREF,105,he,197,199,14,2,1,M_4,Other
5,booknlp,COREF,105,his,246,249,14,2,1,M_5,Other
6,booknlp,COREF,105,his,288,291,14,2,1,M_6,Other
7,booknlp,COREF,105,he,415,417,14,2,1,M_7,Other
8,booknlp,COREF,105,him,1008,1011,14,3,1,M_8,Other
9,booknlp,COREF,105,His,1093,1096,14,3,1,M_9,Other
10,booknlp,COREF,105,his,1111,1114,14,3,1,M_10,Other
11,booknlp,COREF,105,his,1170,1173,14,3,1,M_11,Other
12,booknlp,COREF,105,him,1251,1254,14,3,1,M_12,Other
13,booknlp,COREF,105,his,1412,1415,14,4,1,M_13,Other
14,booknlp,COREF,105,He,1529,1531,14,6,1,M_14,Other
15,booknlp,COREF,105,his,1539,1542,14,6,1,M_15,Other
16,booknlp,COREF,105,he,1597,1599,14,6,1,M_16,Other
17,booknlp,COREF,105,he,1629,1631,14,6,1,M_17,Other
18,pdnc,qID,Q1-1,you,1673,1676,21,6,1,M_18,Other
19,booknlp,COREF,105,He,1844,1846,14,8,1,M_19,Other
20,pdnc,qID,Q3-0,you,1880,1883,21,8,1,M_20,Other
21,pdnc,qID,Q3-0,Watson,1895,1901,21,8,1,M_21,Other
22,booknlp,COREF,105,he,1904,1906,14,8,1,M_22,Other
23,booknlp,COREF,105,I,1914,1915,14,8,1,M_23,Other
24,booknlp,COREF,105,I,1968,1969,14,8,1,M_24,Other
25,exp,exp_name,small,small,2086,2091,25,8,1,M_25,PROPN
26,pdnc,qID,Q4-1,Your,2154,2158,14,9,1,M_26,Other
27,pdnc,qID,Q4-1,you,2173,2176,14,9,1,M_27,Other
28,pdnc,qID,Q4-1,You,2333,2336,14,9,1,M_28,Other
29,pdnc,qID,Q4-1,you,2381,2384,14,9,1,M_29,Other
30,pdnc,qID,Q4-1,you,2441,2444,14,9,1,M_30,Other
31,pdnc,qID,Q4-1,you,2522,2525,14,9,1,M_31,Other
32,booknlp,COREF,105,he,2654,2656,14,9,1,M_32,Other
33,booknlp,COREF,105,He,2689,2691,14,10,1,M_33,Other
34,booknlp,COREF,105,he,2732,2734,14,10,1,M_34,Other
35,booknlp,COREF,105,his,2739,2742,14,10,1,M_35,Other
36,booknlp,COREF,105,his,2775,2778,14,10,1,M_36,Other
37,booknlp,COREF,105,his,2801,2804,14,10,1,M_37,Other
38,booknlp,COREF,105,My,2858,2860,14,11,1,M_38,Other
39,booknlp,COREF,105,he,2868,2870,14,11,1,M_39,Other
40,booknlp,COREF,105,me,2905,2907,14,11,1,M_40,Other
41,booknlp,COREF,105,me,2923,2925,14,11,1,M_41,Other
42,booknlp,COREF,105,me,2937,2939,14,11,1,M_42,Other
43,booknlp,COREF,105,I,3005,3006,14,11,1,M_43,Other
44,booknlp,COREF,105,my,3013,3015,14,11,1,M_44,Other
45,booknlp,COREF,105,I,3039,3040,14,11,1,M_45,Other
46,booknlp,COREF,105,I,3091,3092,14,11,1,M_46,Other
47,booknlp,COREF,105,I,3130,3131,14,11,1,M_47,Other
48,booknlp,COREF,105,I,3173,3174,14,11,1,M_48,Other
49,booknlp,COREF,105,my,3187,3189,14,11,1,M_49,Other
50,booknlp,COREF,105,I,3243,3244,14,11,1,M_50,Other
51,booknlp,COREF,105,he,3384,3386,14,13,1,M_51,Other
52,booknlp,COREF,105,I,3398,3399,14,13,1,M_52,Other
53,pdnc,qID,Q7-1,Athelney Jones,3482,3496,3,13,1,M_53,PROPN
54,booknlp,COREF,105,me,3588,3590,14,13,1,M_54,Other
55,booknlp,COREF,105,I,3592,3593,14,13,1,M_55,Other
56,booknlp,COREF,105,I,3664,3665,14,13,1,M_56,Other
57,booknlp,COREF,105,My,3697,3699,14,13,1,M_57,Other
58,booknlp,COREF,105,my,3783,3785,14,13,1,M_58,Other
59,booknlp,COREF,105,my,3806,3808,14,13,1,M_59,Other
60,pdnc,qID,Q7-1,you,3829,3832,21,13,1,M_60,Other
61,booknlp,COREF,105,my,3870,3872,14,13,1,M_61,Other
62,exp,exp_name,small,small,4024,4029,25,14,1,M_62,PROPN
63,pdnc,qID,Q9-1,you,4188,4191,21,15,1,M_63,Other
64,pdnc,qID,Q9-1,You,4312,4315,21,15,1,M_64,Other
65,pdnc,qID,Q9-1,you,4403,4406,21,15,1,M_65,Other
66,exp,exp_name,small,small,5165,5170,25,18,1,M_66,PROPN
67,booknlp,COREF,105,My,5438,5440,14,19,1,M_67,Other
68,exp,exp_name,holmes,Holmes,5496,5502,14,19,1,M_68,PROPN
69,booknlp,COREF,105,his,5530,5533,14,19,1,M_69,Other
70,booknlp,COREF,105,I,5556,5557,14,19,1,M_70,Other
71,pdnc,qID,Q12-1,you,5614,5617,21,19,1,M_71,Other
72,booknlp,COREF,105,I,5942,5943,14,19,1,M_72,Other
73,booknlp,COREF,105,him,5962,5965,14,19,1,M_73,Other
74,booknlp,COREF,105,him,6074,6077,14,19,1,M_74,Other
75,booknlp,COREF,105,I,6122,6123,14,19,1,M_75,Other
76,booknlp,COREF,105,my,6155,6157,14,19,1,M_76,Other
77,booknlp,COREF,105,He,6171,6173,14,19,1,M_77,Other
78,booknlp,COREF,105,he,6190,6192,14,19,1,M_78,Other
79,booknlp,COREF,105,He,6438,6440,14,20,1,M_79,Other
80,booknlp,COREF,105,his,6462,6465,14,20,1,M_80,Other
81,booknlp,COREF,105,he,6489,6491,14,21,1,M_81,Other
82,booknlp,COREF,105,my,6498,6500,14,21,1,M_82,Other
83,exp,exp_name,sherlock holmes,Sherlock Holmes,6530,6545,14,21,1,M_83,PROPN
84,booknlp,COREF,105,He,6557,6559,14,21,1,M_84,Other
85,booknlp,COREF,105,himself,6583,6590,14,21,1,M_85,Other
86,booknlp,COREF,105,He,6592,6594,14,21,1,M_86,Other
87,booknlp,COREF,105,He,6671,6673,14,21,1,M_87,Other
88,booknlp,COREF,105,He,6726,6728,14,21,1,M_88,Other
89,booknlp,COREF,105,He,6786,6788,14,21,1,M_89,Other
90,booknlp,COREF,105,my,6808,6810,14,21,1,M_90,Other
91,exp,exp_name,small,small,6811,6816,25,21,1,M_91,PROPN
92,pdnc,qID,Q15-0,Your,6839,6843,14,22,1,M_92,Other
93,pdnc,qID,Q16-0,you,6865,6868,21,23,1,M_93,Other
94,booknlp,COREF,105,he,6876,6878,14,23,1,M_94,Other
95,booknlp,COREF,105,I,6902,6903,14,23,1,M_95,Other
96,booknlp,COREF,105,I,7081,7082,14,23,1,M_96,Other
97,pdnc,qID,Q17-0,You,7668,7671,14,24,1,M_97,Other
98,booknlp,COREF,105,I,7729,7730,14,25,1,M_98,Other
99,booknlp,COREF,105,my,7768,7770,14,25,1,M_99,Other
100,booknlp,COREF,105,I,8261,8262,14,25,1,M_100,Other
101,pdnc,qID,Q18-0,you,8269,8272,21,25,1,M_101,Other
102,booknlp,COREF,105,my,8278,8280,14,25,1,M_102,Other
103,pdnc,qID,Q19-1,your,8423,8427,14,26,1,M_103,Other
104,pdnc,qID,Q19-1,you,8461,8464,14,26,1,M_104,Other
105,pdnc,qID,Q20-1,you,8721,8724,21,27,1,M_105,Other
106,booknlp,COREF,105,you,8826,8829,14,27,1,M_106,Other
107,pdnc,qID,Q21-1,you,8930,8933,14,28,1,M_107,Other
108,pdnc,qID,Q22-1,you,9247,9250,21,29,1,M_108,Other
109,booknlp,COREF,105,your,9291,9295,14,29,1,M_109,Other
110,pdnc,qID,Q23-0,you,9661,9664,14,30,1,M_110,Other
111,pdnc,qID,Q24-0,you,9716,9719,21,31,1,M_111,Other
112,pdnc,qID,Q24-0,you,9770,9773,21,31,1,M_112,Other
113,booknlp,COREF,105,your,9801,9805,14,31,1,M_113,Other
114,pdnc,qID,Q24-0,you,9827,9830,21,31,1,M_114,Other
115,pdnc,qID,Q24-0,you,9899,9902,21,31,1,M_115,Other
116,pdnc,qID,Q25-1,you,10132,10135,14,32,1,M_116,Other
117,pdnc,qID,Q25-1,you,10164,10167,14,32,1,M_117,Other
118,booknlp,COREF,105,your,10206,10210,14,32,1,M_118,Other
119,pdnc,qID,Q26-1,you,10389,10392,21,33,1,M_119,Other
120,pdnc,qID,Q27-0,you,10429,10432,14,34,1,M_120,Other
121,pdnc,qID,Q27-0,you,10685,10688,14,34,1,M_121,Other
122,pdnc,qID,Q29-0,You,11413,11416,14,37,1,M_122,Other
123,pdnc,qID,Q30-1,your,11792,11796,21,38,1,M_123,Other
124,pdnc,qID,Q30-1,your,11851,11855,21,38,1,M_124,Other
125,pdnc,qID,Q30-1,your,11893,11897,21,38,1,M_125,Other
126,pdnc,qID,Q31-0,you,11914,11917,14,39,1,M_126,Other
127,pdnc,qID,Q32-0,your,11995,11999,21,40,1,M_127,Other
128,pdnc,qID,Q32-0,Your,12245,12249,21,40,1,M_128,Other
129,pdnc,qID,Q32-0,your,12345,12349,21,40,1,M_129,Other
130,pdnc,qID,Q35-0,you,12803,12806,14,44,1,M_130,Other
131,pdnc,qID,Q35-0,Holmes,12808,12814,14,44,1,M_131,Other
132,pdnc,qID,Q35-1,you,12857,12860,14,44,1,M_132,Other
133,pdnc,qID,Q35-1,You,12891,12894,14,44,1,M_133,Other
134,pdnc,qID,Q35-1,you,12958,12961,14,44,1,M_134,Other
135,pdnc,qID,Q35-1,You,13021,13024,14,44,1,M_135,Other
136,pdnc,qID,Q35-1,you,13058,13061,14,44,1,M_136,Other
137,pdnc,qID,Q36-0,My dear doctor,13176,13190,21,45,1,M_137,Other
138,pdnc,qID,Q36-1,you,13344,13347,21,45,1,M_138,Other
139,pdnc,qID,Q36-1,you,13358,13361,21,45,1,M_139,Other
140,pdnc,qID,Q36-1,you,13400,13403,21,45,1,M_140,Other
141,pdnc,qID,Q36-1,you,13424,13427,21,45,1,M_141,Other
142,pdnc,qID,Q37-0,you,13502,13505,14,46,1,M_142,Other
143,pdnc,qID,Q40-0,you,13838,13841,21,49,1,M_143,Other
144,pdnc,qID,Q40-0,you,13861,13864,21,49,1,M_144,Other
145,exp,exp_name,small,small,13914,13919,25,49,1,M_145,PROPN
146,pdnc,qID,Q40-0,your,14003,14007,21,49,1,M_146,Other
147,pdnc,qID,Q40-0,you,14035,14038,21,49,1,M_147,Other
148,pdnc,qID,Q40-0,you,14081,14084,21,49,1,M_148,Other
149,pdnc,qID,Q41-0,you,15078,15081,21,51,1,M_149,Other
150,pdnc,qID,Q41-0,you,15285,15288,21,51,1,M_150,Other
151,pdnc,qID,Q42-1,you,15522,15525,14,52,1,M_151,Other
152,pdnc,qID,Q42-1,your,15559,15563,14,52,1,M_152,Other
153,pdnc,qID,Q42-1,you,15602,15605,14,52,1,M_153,Other
154,pdnc,qID,Q44-0,A young lady,16322,16334,12,55,1,M_154,Other
155,pdnc,qID,Q44-0,you,16339,16342,14,55,1,M_155,Other
156,pdnc,qID,Q44-0,sir,16344,16347,14,55,1,M_156,PROPN
