,source,idColName,iden,text,startByte,endByte,pdncID,paraID,chapID,mID,mention_type
0,exp,exp_name,mr. pontellier,Mr. Pontellier,404,418,5,6,1,M_0,PROPN
1,booknlp,COREF,49,his,435,438,5,6,1,M_1,Other
2,booknlp,COREF,49,He,534,536,5,7,1,M_2,Other
3,exp,exp_name,lebrun,Lebrun,613,619,15,7,1,M_3,PROPN
4,booknlp,COREF,49,He,649,651,5,7,1,M_4,Other
5,exp,exp_name,madame lebrun,Madame Lebrun,756,769,6,7,1,M_5,PROPN
6,exp,exp_name,mr. pontellier,Mr. Pontellier,829,843,5,7,1,M_6,PROPN
7,booknlp,COREF,49,He,926,928,5,8,1,M_7,Other
8,booknlp,COREF,49,his,956,959,5,8,1,M_8,Other
9,booknlp,COREF,49,himself,1051,1058,5,8,1,M_9,Other
10,booknlp,COREF,49,he,1095,1097,5,8,1,M_10,Other
11,booknlp,COREF,49,himself,1116,1123,5,8,1,M_11,Other
12,booknlp,COREF,49,He,1257,1259,5,8,1,M_12,Other
13,booknlp,COREF,49,he,1312,1314,5,8,1,M_13,Other
14,booknlp,COREF,49,he,1377,1379,5,8,1,M_14,Other
15,exp,exp_name,mr. pontellier,Mr. Pontellier,1450,1464,5,9,1,M_15,PROPN
16,booknlp,COREF,49,He,1483,1485,5,9,1,M_16,Other
17,booknlp,COREF,49,he,1549,1551,5,9,1,M_17,Other
18,booknlp,COREF,49,His,1570,1573,5,9,1,M_18,Other
19,booknlp,COREF,49,His,1623,1626,5,9,1,M_19,Other
20,booknlp,COREF,49,he,1682,1684,5,10,1,M_20,Other
21,booknlp,COREF,49,his,1694,1697,5,10,1,M_21,Other
22,booknlp,COREF,49,him,1741,1744,5,10,1,M_22,Other
23,exp,exp_name,madame lebrun,Madame Lebrun,2013,2026,6,10,1,M_23,PROPN
24,exp,exp_name,mr. pontellier,Mr. Pontellier,2633,2647,5,10,1,M_24,PROPN
25,exp,exp_name,mr. pontellier,Mr. Pontellier,2784,2798,5,11,1,M_25,PROPN
26,booknlp,COREF,49,his,2872,2875,5,11,1,M_26,Other
27,booknlp,COREF,49,He,2882,2884,5,11,1,M_27,Other
28,booknlp,COREF,49,his,2891,2894,5,11,1,M_28,Other
29,booknlp,COREF,49,He,2973,2975,5,11,1,M_29,Other
30,booknlp,COREF,49,his,3233,3236,5,11,1,M_30,Other
31,exp,exp_name,mrs. pontellier,Mrs. Pontellier,3243,3258,3,11,1,M_31,PROPN
