,source,idColName,iden,text,startByte,endByte,pdncID,paraID,chapID,mID,mention_type
0,exp,exp_name,the general,The General,268,279,16,5,1,M_0,PROPN
1,booknlp,COREF,150,his,373,376,16,5,1,M_1,Other
2,exp,exp_name,the general,the General,503,514,16,5,1,M_2,PROPN
3,exp,exp_name,polina alexandrovna,Polina Alexandrovna,897,916,12,5,1,M_3,PROPN
4,booknlp,COREF,47,she,1007,1010,12,5,1,M_4,Other
5,exp,exp_name,the general,the General,1245,1256,16,6,1,M_5,PROPN
6,exp,exp_name,the general,the General,1376,1387,16,6,1,M_6,PROPN
7,booknlp,COREF,150,he,1456,1458,16,6,1,M_7,Other
8,booknlp,COREF,150,him,1535,1538,16,6,1,M_8,Other
9,exp,exp_name,the general,the General,1760,1771,16,6,1,M_9,PROPN
10,booknlp,COREF,150,He,1773,1775,16,6,1,M_10,Other
11,booknlp,COREF,150,he,1858,1860,16,6,1,M_11,Other
12,booknlp,COREF,150,he,1886,1888,16,6,1,M_12,Other
13,booknlp,COREF,150,He,1920,1922,16,6,1,M_13,Other
14,booknlp,COREF,150,he,2014,2016,16,6,1,M_14,Other
15,booknlp,COREF,150,he,2144,2146,16,6,1,M_15,Other
16,booknlp,COREF,150,his,2265,2268,16,6,1,M_16,Other
17,booknlp,COREF,150,he,2289,2291,16,6,1,M_17,Other
18,booknlp,COREF,150,I,2309,2310,16,7,1,M_18,Other
19,pdnc,qID,Q0-0,you,2319,2322,4,7,1,M_19,Other
20,booknlp,COREF,150,my,2392,2394,16,7,1,M_20,Other
21,booknlp,COREF,150,I,2420,2421,16,7,1,M_21,Other
22,pdnc,qID,Q0-0,you,2440,2443,4,7,1,M_22,Other
23,booknlp,COREF,150,I,2468,2469,16,7,1,M_23,Other
24,pdnc,qID,Q0-0,your,2477,2481,4,7,1,M_24,Other
25,booknlp,COREF,150,I,2515,2516,16,7,1,M_25,Other
26,pdnc,qID,Q0-0,you,2546,2549,4,7,1,M_26,Other
27,booknlp,COREF,150,me,2582,2584,16,7,1,M_27,Other
28,pdnc,qID,Q2-0,you,2645,2648,4,9,1,M_28,Other
29,exp,exp_name,the general,the General,2692,2703,16,9,1,M_29,PROPN
30,booknlp,COREF,150,he,2727,2729,16,9,1,M_30,Other
31,booknlp,COREF,150,his,2741,2744,16,9,1,M_31,Other
32,booknlp,COREF,150,himself,2770,2777,16,9,1,M_32,Other
33,booknlp,COREF,150,he,2808,2810,16,9,1,M_33,Other
34,booknlp,COREF,150,he,2820,2822,16,9,1,M_34,Other
35,booknlp,COREF,150,his,2850,2853,16,9,1,M_35,Other
36,booknlp,COREF,150,he,2884,2886,16,10,1,M_36,Other
37,booknlp,COREF,150,my,3007,3009,16,10,1,M_37,Other
38,pdnc,qID,Q4-0,You,3050,3053,4,12,1,M_38,Other
39,booknlp,COREF,150,I,3083,3084,16,12,1,M_39,Other
40,booknlp,COREF,150,he,3091,3093,16,12,1,M_40,Other
41,pdnc,qID,Q4-1,You,3106,3109,4,12,1,M_41,Other
42,booknlp,COREF,150,I,3150,3151,16,12,1,M_42,Other
43,booknlp,COREF,150,I,3162,3163,16,12,1,M_43,Other
44,booknlp,COREF,150,my,3220,3222,16,12,1,M_44,Other
45,exp,exp_name,mlle. blanche,Mlle. Blanche,3396,3409,7,13,1,M_45,PROPN
46,exp,exp_name,polina alexandrovna,Polina Alexandrovna,3433,3452,12,13,1,M_46,PROPN
47,exp,exp_name,the frenchman,the Frenchman,3473,3486,8,13,1,M_47,PROPN
48,exp,exp_name,the general,the General,3508,3519,16,13,1,M_48,PROPN
49,exp,exp_name,the general,the General,3617,3628,16,13,1,M_49,PROPN
50,exp,exp_name,mlle. blanche,Mlle. Blanche,3892,3905,7,13,1,M_50,PROPN
51,booknlp,COREF,50,her,3917,3920,7,13,1,M_51,Other
52,exp,exp_name,the frenchman,the Frenchman,3932,3945,8,13,1,M_52,PROPN
53,exp,exp_name,monsieur le comte,Monsieur le Comte,4027,4044,8,13,1,M_53,PROPN
54,exp,exp_name,mlle. blanche,Mlle. Blanche,4051,4064,7,13,1,M_54,PROPN
55,exp,exp_name,madame,Madame,4086,4092,5,13,1,M_55,PROPN
56,exp,exp_name,monsieur le comte,Monsieur le Comte,4176,4193,8,14,1,M_56,PROPN
57,exp,exp_name,the general,the General,4258,4269,16,14,1,M_57,PROPN
58,booknlp,COREF,150,he,4523,4525,16,14,1,M_58,Other
59,exp,exp_name,the general,the General,4582,4593,16,14,1,M_59,PROPN
60,exp,exp_name,the general,the General,4744,4755,16,14,1,M_60,PROPN
61,exp,exp_name,mr. astley,Mr. Astley,4915,4925,10,14,1,M_61,PROPN
62,exp,exp_name,the general,the General,5773,5784,16,15,1,M_62,PROPN
63,exp,exp_name,polina,Polina,5856,5862,12,15,1,M_63,PROPN
64,exp,exp_name,the frenchman,the Frenchman,5994,6007,8,16,1,M_64,PROPN
65,booknlp,COREF,180,he,6030,6032,8,16,1,M_65,Other
66,booknlp,COREF,180,he,6103,6105,8,16,1,M_66,Other
67,booknlp,COREF,180,he,6151,6153,8,16,1,M_67,Other
68,exp,exp_name,the general,the General,6220,6231,16,16,1,M_68,PROPN
69,booknlp,COREF,180,him,6258,6261,8,16,1,M_69,Other
70,booknlp,COREF,180,he,6263,6265,8,16,1,M_70,Other
71,booknlp,COREF,180,his,6331,6334,8,16,1,M_71,Other
72,pdnc,qID,Q5-0,General,6530,6537,16,17,1,M_72,Other
73,pdnc,qID,Q5-0,him,6562,6565,16,17,1,M_73,Other
74,pdnc,qID,Q5-0,his,6570,6573,16,17,1,M_74,Other
75,exp,exp_name,polina alexandrovna,Polina Alexandrovna,6629,6648,12,17,1,M_75,PROPN
76,booknlp,COREF,47,she,6654,6657,12,17,1,M_76,Other
77,exp,exp_name,the general,the general,6843,6854,16,18,1,M_77,PROPN
78,exp,exp_name,the frenchman,the Frenchman,6918,6931,8,18,1,M_78,PROPN
79,exp,exp_name,the general,the General,6972,6983,16,18,1,M_79,PROPN
80,booknlp,COREF,150,him,7073,7076,16,18,1,M_80,Other
81,exp,exp_name,the general,The General,7173,7184,16,18,1,M_81,PROPN
82,exp,exp_name,a man,a man,7236,7241,2,19,1,M_82,PROPN
83,exp,exp_name,the general,The General,7595,7606,16,20,1,M_83,PROPN
84,booknlp,COREF,150,he,7631,7633,16,20,1,M_84,Other
85,exp,exp_name,the frenchman,the Frenchman,7792,7805,8,21,1,M_85,PROPN
86,exp,exp_name,monsignor,Monsignor,8102,8111,25,22,1,M_86,PROPN
