,source,idColName,iden,text,startByte,endByte,pdncID,paraID,chapID,mID,mention_type
0,exp,exp_name,the invisible man,The Invisible Man,7,24,24,1,-1,M_0,PROPN
1,exp,exp_name,the stranger,The stranger,87,99,24,4,1,M_1,PROPN
2,booknlp,COREF,152,his,314,317,24,4,1,M_2,Other
3,booknlp,COREF,152,He,339,341,24,4,1,M_3,Other
4,booknlp,COREF,152,his,392,395,24,4,1,M_4,Other
5,booknlp,COREF,152,his,428,431,24,4,1,M_5,Other
6,booknlp,COREF,152,his,458,461,24,4,1,M_6,Other
7,booknlp,COREF,152,his,502,505,24,4,1,M_7,Other
8,booknlp,COREF,152,he,565,567,24,4,1,M_8,Other
9,booknlp,COREF,152,He,577,579,24,4,1,M_9,Other
10,booknlp,COREF,152,his,650,653,24,4,1,M_10,Other
11,booknlp,COREF,152,he,682,684,24,4,1,M_11,Other
12,booknlp,COREF,152,He,743,745,24,4,1,M_12,Other
13,booknlp,COREF,152,himself,782,789,24,4,1,M_13,Other
14,exp,exp_name,mrs. hall,Mrs. Hall,815,824,15,4,1,M_14,PROPN
15,booknlp,COREF,152,his,858,861,24,4,1,M_15,Other
16,booknlp,COREF,152,he,958,960,24,4,1,M_16,Other
17,booknlp,COREF,152,his,969,972,24,4,1,M_17,Other
18,exp,exp_name,mrs. hall,Mrs. Hall,995,1004,15,5,1,M_18,PROPN
19,booknlp,COREF,152,him,1027,1030,24,5,1,M_19,Other
20,booknlp,COREF,152,him,1063,1066,24,5,1,M_20,Other
21,booknlp,COREF,152,his,1624,1627,24,5,1,M_21,Other
22,booknlp,COREF,152,his,1656,1659,24,5,1,M_22,Other
23,booknlp,COREF,152,His,1735,1738,24,5,1,M_23,Other
24,booknlp,COREF,152,him,1772,1775,24,5,1,M_24,Other
25,booknlp,COREF,152,he,1781,1783,24,5,1,M_25,Other
26,booknlp,COREF,152,his,1869,1872,24,5,1,M_26,Other
27,pdnc,qID,Q1-0,your,1920,1924,24,5,1,M_27,Other
28,pdnc,qID,Q1-0,sir,1939,1942,24,5,1,M_28,PROPN
29,booknlp,COREF,152,he,2005,2007,24,6,1,M_29,Other
30,booknlp,COREF,152,him,2062,2065,24,7,1,M_30,Other
31,booknlp,COREF,152,He,2106,2108,24,8,1,M_31,Other
32,booknlp,COREF,152,his,2116,2119,24,8,1,M_32,Other
33,booknlp,COREF,152,his,2148,2151,24,8,1,M_33,Other
34,booknlp,COREF,152,I,2163,2164,24,8,1,M_34,Other
35,booknlp,COREF,152,he,2190,2192,24,8,1,M_35,Other
36,booknlp,COREF,152,he,2234,2236,24,8,1,M_36,Other
37,booknlp,COREF,152,his,2312,2315,24,8,1,M_37,Other
38,booknlp,COREF,152,his,2348,2351,24,8,1,M_38,Other
39,pdnc,qID,Q3-0,sir,2382,2385,24,9,1,M_39,PROPN
40,pdnc,qID,Q3-1,you,2404,2407,24,9,1,M_40,Other
41,booknlp,COREF,152,He,2450,2452,24,10,1,M_41,Other
42,booknlp,COREF,152,his,2484,2487,24,10,1,M_42,Other
43,exp,exp_name,mrs. hall,Mrs. Hall,2518,2527,15,10,1,M_43,PROPN
44,booknlp,COREF,152,he,2687,2689,24,10,1,M_44,Other
45,exp,exp_name,a man,a man,2721,2726,1,10,1,M_45,PROPN
46,booknlp,COREF,152,his,2737,2740,24,10,1,M_46,Other
47,booknlp,COREF,152,his,2755,2758,24,10,1,M_47,Other
48,booknlp,COREF,152,his,2777,2780,24,10,1,M_48,Other
49,booknlp,COREF,152,his,2819,2822,24,10,1,M_49,Other
50,booknlp,COREF,152,him,2940,2943,24,10,1,M_50,Other
51,pdnc,qID,Q4-0,Your,2946,2950,24,10,1,M_51,Other
52,pdnc,qID,Q4-0,sir,2968,2971,24,10,1,M_52,PROPN
53,pdnc,qID,Q5-0,you,2982,2985,15,11,1,M_53,Other
54,booknlp,COREF,152,he,2988,2990,24,11,1,M_54,Other
55,booknlp,COREF,152,he,3068,3070,24,11,1,M_55,Other
56,booknlp,COREF,152,him,3655,3658,24,12,1,M_56,Other
57,booknlp,COREF,152,he,3997,3999,24,13,1,M_57,Other
58,booknlp,COREF,152,he,4446,4448,24,14,1,M_58,Other
59,booknlp,COREF,152,his,4460,4463,24,14,1,M_59,Other
60,booknlp,COREF,152,him,4539,4542,24,15,1,M_60,Other
61,booknlp,COREF,152,He,4569,4571,24,16,1,M_61,Other
62,booknlp,COREF,152,he,4610,4612,24,16,1,M_62,Other
63,booknlp,COREF,152,him,4630,4633,24,16,1,M_63,Other
64,booknlp,COREF,152,his,4657,4660,24,16,1,M_64,Other
65,booknlp,COREF,152,his,4675,4678,24,16,1,M_65,Other
66,booknlp,COREF,152,his,4745,4748,24,16,1,M_66,Other
67,exp,exp_name,mrs. hall,Mrs. Hall,4799,4808,15,16,1,M_67,PROPN
68,booknlp,COREF,152,his,4835,4838,24,16,1,M_68,Other
69,booknlp,COREF,152,his,4854,4857,24,16,1,M_69,Other
70,booknlp,COREF,152,his,4928,4931,24,16,1,M_70,Other
71,booknlp,COREF,152,his,4961,4964,24,16,1,M_71,Other
72,booknlp,COREF,152,his,4993,4996,24,16,1,M_72,Other
73,booknlp,COREF,152,He,5077,5079,24,16,1,M_73,Other
74,booknlp,COREF,152,his,5167,5170,24,16,1,M_74,Other
75,booknlp,COREF,152,him,5303,5306,24,16,1,M_75,Other
76,booknlp,COREF,152,He,5450,5452,24,17,1,M_76,Other
77,booknlp,COREF,152,his,5573,5576,24,17,1,M_77,Other
78,booknlp,COREF,152,he,5620,5622,24,17,1,M_78,Other
79,pdnc,qID,Q10-0,sir,5809,5812,24,18,1,M_79,PROPN
80,pdnc,qID,Q11-0,you,5871,5874,15,19,1,M_80,Other
81,booknlp,COREF,152,he,5877,5879,24,19,1,M_81,Other
82,pdnc,qID,Q12-0,sir,5976,5979,24,20,1,M_82,PROPN
83,booknlp,COREF,152,his,6013,6016,24,20,1,M_83,Other
84,booknlp,COREF,152,his,6057,6060,24,20,1,M_84,Other
85,booknlp,COREF,152,his,6141,6144,24,20,1,M_85,Other
86,booknlp,COREF,152,his,6174,6177,24,20,1,M_86,Other
87,exp,exp_name,the visitor,The visitor,6472,6483,24,21,1,M_87,PROPN
88,booknlp,COREF,152,He,6525,6527,24,21,1,M_88,Other
89,booknlp,COREF,152,he,6569,6571,24,21,1,M_89,Other
90,booknlp,COREF,152,his,6580,6583,24,21,1,M_90,Other
