,source,idColName,iden,text,startByte,endByte,pdncID,paraID,chapID,mID,mention_type
0,exp,exp_name,dorian gray,Dorian Gray,15,26,4,1,-1,M_0,PROPN
1,exp,exp_name,the artist,The artist,58,68,39,4,-1,M_1,PROPN
2,exp,exp_name,the artist,the artist,131,141,39,4,-1,M_2,PROPN
3,exp,exp_name,man,man,934,937,30,9,-1,M_3,PROPN
4,exp,exp_name,the artist,the artist,974,984,39,9,-1,M_4,PROPN
5,exp,exp_name,the artist,The artist,1272,1282,39,9,-1,M_5,PROPN
6,exp,exp_name,the artist,the artist,1335,1345,39,9,-1,M_6,PROPN
7,exp,exp_name,the artist,the artist,1392,1402,39,9,-1,M_7,PROPN
8,exp,exp_name,the artist,the artist,1890,1900,39,9,-1,M_8,PROPN
9,booknlp,COREF,357,himself,1919,1926,39,9,-1,M_9,Other
10,exp,exp_name,man,man,1945,1948,30,9,-1,M_10,PROPN
11,booknlp,COREF,357,he,2449,2451,39,14,1,M_11,Other
12,booknlp,COREF,357,his,2479,2482,39,14,1,M_12,Other
13,exp,exp_name,lord henry wotton,Lord Henry Wotton,2515,2532,19,14,1,M_13,PROPN
14,booknlp,COREF,357,him,2932,2935,39,14,1,M_14,Other
15,exp,exp_name,a young man,a young man,3485,3496,28,15,1,M_15,PROPN
16,exp,exp_name,the artist,the artist,3590,3600,39,15,1,M_16,PROPN
17,booknlp,COREF,357,himself,3601,3608,39,15,1,M_17,Other
18,exp,exp_name,basil hallward,Basil Hallward,3610,3624,2,15,1,M_18,PROPN
19,exp,exp_name,the painter,the painter,3762,3773,42,16,1,M_19,PROPN
20,booknlp,COREF,389,he,3813,3815,42,16,1,M_20,Other
21,booknlp,COREF,389,his,3845,3848,42,16,1,M_21,Other
22,booknlp,COREF,389,his,3888,3891,42,16,1,M_22,Other
23,booknlp,COREF,389,he,3936,3938,42,16,1,M_23,Other
24,booknlp,COREF,389,his,3972,3975,42,16,1,M_24,Other
25,booknlp,COREF,389,his,3989,3992,42,16,1,M_25,Other
26,booknlp,COREF,389,he,4026,4028,42,16,1,M_26,Other
27,booknlp,COREF,389,his,4055,4058,42,16,1,M_27,Other
28,booknlp,COREF,389,he,4095,4097,42,16,1,M_28,Other
29,booknlp,COREF,389,he,4105,4107,42,16,1,M_29,Other
30,pdnc,qID,Q0-0,your,4129,4133,2,17,1,M_30,Other
31,pdnc,qID,Q0-0,Basil,4145,4150,2,17,1,M_31,PROPN
32,pdnc,qID,Q0-0,you,4167,4170,2,17,1,M_32,Other
33,exp,exp_name,lord henry,Lord Henry,4193,4203,19,17,1,M_33,PROPN
34,pdnc,qID,Q0-1,You,4216,4219,2,17,1,M_34,Other
35,booknlp,COREF,120,I,4321,4322,19,17,1,M_35,Other
36,booknlp,COREF,120,I,4383,4384,19,17,1,M_36,Other
37,booknlp,COREF,120,I,4470,4471,19,17,1,M_37,Other
38,booknlp,COREF,389,I,4570,4571,42,18,1,M_38,Other
39,booknlp,COREF,389,I,4584,4585,42,18,1,M_39,Other
40,booknlp,COREF,389,he,4611,4613,42,18,1,M_40,Other
41,booknlp,COREF,389,his,4632,4635,42,18,1,M_41,Other
42,booknlp,COREF,389,his,4680,4683,42,18,1,M_42,Other
43,booknlp,COREF,389,him,4701,4704,42,18,1,M_43,Other
44,booknlp,COREF,389,I,4721,4722,42,18,1,M_44,Other
45,exp,exp_name,lord henry,Lord Henry,4749,4759,19,19,1,M_45,PROPN
46,booknlp,COREF,120,his,4769,4772,19,19,1,M_46,Other
47,booknlp,COREF,389,him,4796,4799,42,19,1,M_47,Other
48,booknlp,COREF,120,his,4896,4899,19,19,1,M_48,Other
49,pdnc,qID,Q2-0,My dear fellow,4955,4969,2,19,1,M_49,Other
50,pdnc,qID,Q2-0,you,4981,4984,2,19,1,M_50,Other
51,pdnc,qID,Q2-0,you,5012,5015,2,19,1,M_51,Other
52,pdnc,qID,Q2-0,You,5030,5033,2,19,1,M_52,Other
53,pdnc,qID,Q2-0,you,5092,5095,2,19,1,M_53,Other
54,pdnc,qID,Q2-0,you,5106,5109,2,19,1,M_54,Other
55,pdnc,qID,Q2-0,you,5156,5159,2,19,1,M_55,Other
56,pdnc,qID,Q2-0,you,5300,5303,2,19,1,M_56,Other
57,booknlp,COREF,389,I,5427,5428,42,20,1,M_57,Other
58,pdnc,qID,Q3-0,you,5434,5437,19,20,1,M_58,Other
59,booknlp,COREF,389,me,5452,5454,42,20,1,M_59,Other
60,booknlp,COREF,389,he,5457,5459,42,20,1,M_60,Other
61,booknlp,COREF,389,I,5474,5475,42,20,1,M_61,Other
62,booknlp,COREF,389,I,5501,5502,42,20,1,M_62,Other
63,booknlp,COREF,389,myself,5524,5530,42,20,1,M_63,Other
64,exp,exp_name,lord henry,Lord Henry,5542,5552,19,21,1,M_64,PROPN
65,booknlp,COREF,120,himself,5563,5570,19,21,1,M_65,Other
66,booknlp,COREF,120,I,5608,5609,19,22,1,M_66,Other
67,pdnc,qID,Q4-0,you,5615,5618,19,22,1,M_67,Other
68,booknlp,COREF,120,my,5698,5700,19,23,1,M_68,Other
69,pdnc,qID,Q5-0,Basil,5707,5712,2,23,1,M_69,PROPN
70,booknlp,COREF,120,I,5714,5715,19,23,1,M_70,Other
