,source,idColName,iden,text,startByte,endByte,pdncID,paraID,chapID,mID,mention_type
0,exp,exp_name,robert cohn,Robert Cohn,803,814,23,10,1,M_0,PROPN
1,exp,exp_name,cohn,Cohn,959,963,23,10,1,M_1,PROPN
2,exp,exp_name,cohn,Cohn,1560,1564,23,10,1,M_2,PROPN
3,exp,exp_name,cohn,Cohn,1698,1702,23,10,1,M_3,PROPN
4,exp,exp_name,robert cohn,Robert Cohn,2152,2163,23,11,1,M_4,PROPN
5,exp,exp_name,cohn,Cohn,2482,2486,23,11,1,M_5,PROPN
6,exp,exp_name,robert cohn,Robert Cohn,2535,2546,23,12,1,M_6,PROPN
7,exp,exp_name,robert cohn,Robert Cohn,3734,3745,23,13,1,M_7,PROPN
8,exp,exp_name,cohn,Cohn,4038,4042,23,13,1,M_8,PROPN
9,exp,exp_name,cohn,Cohn,4513,4517,23,14,1,M_9,PROPN
10,exp,exp_name,cohn,Cohn,4696,4700,23,14,1,M_10,PROPN
11,exp,exp_name,cohn,Cohn,4848,4852,23,14,1,M_11,PROPN
12,exp,exp_name,robert cohn,Robert Cohn,5021,5032,23,14,1,M_12,PROPN
13,exp,exp_name,braddocks,Braddocks,5050,5059,13,14,1,M_13,PROPN
14,exp,exp_name,braddocks,Braddocks,5072,5081,13,14,1,M_14,PROPN
15,booknlp,COREF,200,Frances,5168,5175,9,15,1,M_15,Other
16,exp,exp_name,robert cohn,Robert Cohn,5541,5552,23,15,1,M_16,PROPN
17,exp,exp_name,cohn,Cohn,6183,6187,23,16,1,M_17,PROPN
18,booknlp,COREF,200,Frances,6710,6717,9,18,1,M_18,Other
19,booknlp,COREF,200,her,6734,6737,9,18,1,M_19,Other
20,booknlp,COREF,200,her,6755,6758,9,18,1,M_20,Other
21,exp,exp_name,cohn,Cohn,6863,6867,23,20,1,M_21,PROPN
22,exp,exp_name,cohn,Cohn,6941,6945,23,20,1,M_22,PROPN
23,pdnc,qID,Q3-1,you,7050,7053,15,20,1,M_23,Other
24,pdnc,qID,Q3-1,you,7105,7108,15,20,1,M_24,Other
25,pdnc,qID,Q3-1,Frances,7113,7120,9,20,1,M_25,Other
26,pdnc,qID,Q4-0,Frances,7218,7225,9,21,1,M_26,Other
27,pdnc,qID,Q7-0,You,7328,7331,15,24,1,M_27,Other
28,pdnc,qID,Q7-0,Frances,7343,7350,9,24,1,M_28,Other
29,pdnc,qID,Q7-0,you,7376,7379,15,24,1,M_29,Other
30,pdnc,qID,Q7-0,she,7392,7395,9,24,1,M_30,Other
31,pdnc,qID,Q12-0,you,7630,7633,23,29,1,M_31,Other
32,pdnc,qID,Q13-0,Jake,7682,7686,15,30,1,M_32,Other
33,pdnc,qID,Q14-0,You,7730,7733,23,31,1,M_33,Other
34,pdnc,qID,Q14-0,your,7748,7752,23,31,1,M_34,Other
35,pdnc,qID,Q16-0,You,7835,7838,15,32,1,M_35,Other
36,pdnc,qID,Q16-0,you,7857,7860,15,32,1,M_36,Other
37,pdnc,qID,Q16-0,Jake,7862,7866,15,32,1,M_37,Other
38,pdnc,qID,Q18-0,you,7937,7940,15,34,1,M_38,Other
39,exp,exp_name,robert cohn,Robert Cohn,8171,8182,23,36,2,M_39,PROPN
40,booknlp,COREF,200,Frances,8332,8339,9,36,2,M_40,Other
41,booknlp,COREF,200,Frances,8857,8864,9,36,2,M_41,Other
42,booknlp,COREF,200,Frances,8990,8997,9,37,2,M_42,Other
43,exp,exp_name,cohn,Cohn,9774,9778,23,38,2,M_43,PROPN
44,exp,exp_name,cohn,Cohn,10287,10291,23,38,2,M_44,PROPN
45,pdnc,qID,Q19-0,Robert,10634,10640,23,39,2,M_45,PROPN
46,pdnc,qID,Q19-1,you,10656,10659,23,39,2,M_46,Other
47,pdnc,qID,Q20-0,you,10693,10696,15,40,2,M_47,Other
48,pdnc,qID,Q20-0,Jake,10726,10730,15,40,2,M_48,Other
49,pdnc,qID,Q23-0,You,10815,10818,23,43,2,M_49,Other
50,pdnc,qID,Q23-0,you,10851,10854,23,43,2,M_50,Other
51,pdnc,qID,Q26-0,you,11045,11048,23,47,2,M_51,Other
52,pdnc,qID,Q28-0,your,11091,11095,23,49,2,M_52,Other
53,pdnc,qID,Q29-0,Jake,11149,11153,15,50,2,M_53,Other
54,pdnc,qID,Q29-0,you,11193,11196,15,50,2,M_54,Other
55,pdnc,qID,Q31-0,You,11240,11243,15,52,2,M_55,Other
56,exp,exp_name,cohn,Cohn,11430,11434,23,54,2,M_56,PROPN
57,pdnc,qID,Q34-1,You,11526,11529,23,55,2,M_57,Other
58,pdnc,qID,Q34-1,you,11546,11549,23,55,2,M_58,Other
59,pdnc,qID,Q34-1,You,11556,11559,23,55,2,M_59,Other
60,pdnc,qID,Q40-0,you,12041,12044,23,62,2,M_60,Other
61,pdnc,qID,Q42-0,you,12151,12154,23,64,2,M_61,Other
62,pdnc,qID,Q44-0,you,12207,12210,23,66,2,M_62,Other
63,pdnc,qID,Q47-0,you,12455,12458,15,70,2,M_63,Other
64,exp,exp_name,cohn,Cohn,12962,12966,23,71,2,M_64,PROPN
65,pdnc,qID,Q51-0,Jake,13095,13099,15,73,2,M_65,Other
66,pdnc,qID,Q51-1,you,13139,13142,15,73,2,M_66,Other
67,pdnc,qID,Q51-1,your,13173,13177,15,73,2,M_67,Other
68,pdnc,qID,Q51-1,you,13199,13202,15,73,2,M_68,Other
69,pdnc,qID,Q51-1,you,13237,13240,15,73,2,M_69,Other
70,pdnc,qID,Q51-1,you,13249,13252,15,73,2,M_70,Other
71,pdnc,qID,Q51-1,you,13283,13286,15,73,2,M_71,Other
72,pdnc,qID,Q53-0,you,13346,13349,15,75,2,M_72,Other
73,pdnc,qID,Q54-0,Robert,13425,13431,23,76,2,M_73,PROPN
74,pdnc,qID,Q57-0,You,13524,13527,15,79,2,M_74,Other
75,pdnc,qID,Q60-0,Robert,13664,13670,23,82,2,M_75,PROPN
76,pdnc,qID,Q60-0,You,13747,13750,23,82,2,M_76,Other
77,booknlp,COREF,202,yourself,13771,13779,15,82,2,M_77,Other
78,pdnc,qID,Q61-0,you,13849,13852,15,83,2,M_78,Other
79,pdnc,qID,Q62-0,you,13911,13914,23,84,2,M_79,Other
80,pdnc,qID,Q62-0,you,13934,13937,23,84,2,M_80,Other
81,pdnc,qID,Q62-0,you,14008,14011,23,84,2,M_81,Other
82,pdnc,qID,Q62-0,your,14025,14029,23,84,2,M_82,Other
83,booknlp,COREF,202,yourself,14144,14152,15,86,2,M_83,Other
84,pdnc,qID,Q64-0,you,14177,14180,23,86,2,M_84,Other
85,pdnc,qID,Q69-0,you,14749,14752,15,92,2,M_85,Other
86,pdnc,qID,Q71-0,you,14820,14823,15,94,2,M_86,Other
87,exp,exp_name,robert cohn,Robert Cohn,15202,15213,23,96,2,M_87,PROPN
88,pdnc,qID,Q78-0,you,15728,15731,23,101,2,M_88,Other
89,exp,exp_name,the waiter,The waiter,16761,16771,37,107,3,M_89,PROPN
90,pdnc,qID,Q82-0,you,16799,16802,10,108,3,M_90,Other
91,pdnc,qID,Q88-0,you,17011,17014,10,114,3,M_91,Other
92,pdnc,qID,Q89-0,You,17033,17036,15,115,3,M_92,Other
93,pdnc,qID,Q90-0,you,17071,17074,10,116,3,M_93,Other
94,pdnc,qID,Q92-0,you,17107,17110,10,118,3,M_94,Other
95,pdnc,qID,Q94-0,You,17157,17160,10,120,3,M_95,Other
96,pdnc,qID,Q96-1,you,17425,17428,10,123,3,M_96,Other
97,exp,exp_name,the driver,the driver,17650,17660,46,124,3,M_97,PROPN
98,pdnc,qID,Q101-0,You,18364,18367,15,130,3,M_98,Other
99,pdnc,qID,Q104-0,You,18533,18536,15,134,3,M_99,Other
100,pdnc,qID,Q104-0,you,18565,18568,15,134,3,M_100,Other
101,pdnc,qID,Q105-0,You,18581,18584,10,135,3,M_101,Other
102,pdnc,qID,Q107-0,you,18694,18697,10,137,3,M_102,Other
103,exp,exp_name,georgette,Georgette,18709,18718,10,138,3,M_103,PROPN
104,pdnc,qID,Q108-0,you,18728,18731,15,138,3,M_104,Other
105,exp,exp_name,jacob,Jacob,18743,18748,15,139,3,M_105,PROPN
106,pdnc,qID,Q112-0,You,18796,18799,15,142,3,M_106,Other
107,exp,exp_name,georgette,Georgette,18952,18961,10,145,3,M_107,PROPN
108,pdnc,qID,Q116-1,you,19063,19066,10,146,3,M_108,Other
109,pdnc,qID,Q116-1,you,19105,19108,10,146,3,M_109,Other
110,booknlp,COREF,205,her,19148,19151,10,147,3,M_110,Other
111,exp,exp_name,georgette,Georgette,19417,19426,10,147,3,M_111,PROPN
112,booknlp,COREF,205,she,19485,19488,10,148,3,M_112,Other
113,pdnc,qID,Q118-0,you,19553,19556,10,149,3,M_113,Other
114,pdnc,qID,Q119-0,you,19584,19587,15,150,3,M_114,Other
115,exp,exp_name,georgette,Georgette,19630,19639,10,151,3,M_115,PROPN
116,booknlp,COREF,205,She,19653,19656,10,151,3,M_116,Other
117,booknlp,COREF,205,her,19679,19682,10,151,3,M_117,Other
118,pdnc,qID,Q120-0,You,19719,19722,15,151,3,M_118,Other
119,booknlp,COREF,205,she,19743,19746,10,151,3,M_119,Other
120,pdnc,qID,Q120-1,you,19767,19770,15,151,3,M_120,Other
121,pdnc,qID,Q120-1,you,19819,19822,15,151,3,M_121,Other
122,pdnc,qID,Q123-0,Barnes,20119,20125,15,154,3,M_122,Other
123,pdnc,qID,Q123-0,Barnes,20134,20140,15,154,3,M_123,Other
124,pdnc,qID,Q123-0,Jacob Barnes,20142,20154,15,154,3,M_124,Other
125,exp,exp_name,braddocks,Braddocks,20224,20233,13,156,3,M_125,PROPN
126,exp,exp_name,cohn,Cohn,20263,20267,23,156,3,M_126,PROPN
127,exp,exp_name,frances clyne,Frances Clyne,20269,20282,9,156,3,M_127,PROPN
128,exp,exp_name,mrs. braddocks,Mrs. Braddocks,20284,20298,21,156,3,M_128,PROPN
129,pdnc,qID,Q125-0,You,20333,20336,15,157,3,M_129,Other
130,pdnc,qID,Q125-0,you,20368,20371,15,157,3,M_130,Other
131,exp,exp_name,braddocks,Braddocks,20374,20383,13,157,3,M_131,PROPN
132,pdnc,qID,Q127-0,you,20433,20436,15,159,3,M_132,Other
133,exp,exp_name,mrs. braddocks,Mrs. Braddocks,20463,20477,21,159,3,M_133,PROPN
134,pdnc,qID,Q128-0,You,20488,20491,15,160,3,M_134,Other
135,pdnc,qID,Q128-0,Jake,20503,20507,15,160,3,M_135,Other
136,booknlp,COREF,200,Frances,20527,20534,9,160,3,M_136,Other
137,booknlp,COREF,200,She,20567,20570,9,160,3,M_137,Other
138,pdnc,qID,Q129-0,he,20610,20612,15,161,3,M_138,Other
139,exp,exp_name,braddocks,Braddocks,20624,20633,13,161,3,M_139,PROPN
140,pdnc,qID,Q129-1,Barnes,20674,20680,15,161,3,M_140,Other
141,pdnc,qID,Q131-0,your friend,20705,20716,10,163,3,M_141,Other
142,exp,exp_name,mrs. braddocks,Mrs. Braddocks,20724,20738,21,163,3,M_142,PROPN
143,pdnc,qID,Q133-0,your,20879,20883,15,165,3,M_143,Other
144,exp,exp_name,georgette,Georgette,20894,20903,10,165,3,M_144,PROPN
145,exp,exp_name,georgette,Georgette,21163,21172,10,172,3,M_145,PROPN
146,booknlp,COREF,205,her,21180,21183,10,172,3,M_146,Other
147,booknlp,COREF,205,her,21210,21213,10,172,3,M_147,Other
148,booknlp,COREF,205,she,21222,21225,10,172,3,M_148,Other
149,booknlp,COREF,205,her,21266,21269,10,172,3,M_149,Other
150,booknlp,COREF,205,her,21311,21314,10,172,3,M_150,Other
151,booknlp,COREF,205,she,21329,21332,10,173,3,M_151,Other
152,exp,exp_name,braddocks,Braddocks,21381,21390,13,174,3,M_152,PROPN
153,pdnc,qID,Q141-0,my fianc e,21446,21456,10,175,3,M_153,Other
154,pdnc,qID,Q141-0,Mademoiselle Georgette Leblanc,21458,21488,10,175,3,M_154,PROPN
155,exp,exp_name,georgette,Georgette,21499,21508,10,175,3,M_155,PROPN
156,pdnc,qID,Q142-0,you,21574,21577,10,176,3,M_156,Other
157,exp,exp_name,georgette leblanc,Georgette Leblanc,21589,21606,10,176,3,M_157,PROPN
158,exp,exp_name,mrs. braddocks,Mrs. Braddocks,21621,21635,21,176,3,M_158,PROPN
159,exp,exp_name,georgette,Georgette,21659,21668,10,177,3,M_159,PROPN
160,pdnc,qID,Q144-0,you,21685,21688,10,178,3,M_160,Other
161,exp,exp_name,mrs. braddocks,Mrs. Braddocks,21710,21724,21,178,3,M_161,PROPN
162,exp,exp_name,georgette,Georgette,21757,21766,10,179,3,M_162,PROPN
163,booknlp,COREF,205,My,21781,21783,10,179,3,M_163,Other
164,exp,exp_name,hobin,Hobin,21792,21797,10,179,3,M_164,PROPN
165,pdnc,qID,Q146-0,Mr. Barnes,21806,21816,15,180,3,M_165,PROPN
166,pdnc,qID,Q146-0,you,21828,21831,10,180,3,M_166,Other
167,exp,exp_name,mademoiselle georgette leblanc,Mademoiselle Georgette Leblanc,21835,21865,10,180,3,M_167,PROPN
168,pdnc,qID,Q146-0,he,21874,21876,15,180,3,M_168,Other
169,exp,exp_name,mrs. braddocks,Mrs. Braddocks,21892,21906,21,180,3,M_169,PROPN
170,pdnc,qID,Q147-0,He,21998,22000,15,181,3,M_170,Other
171,exp,exp_name,georgette,Georgette,22012,22021,10,181,3,M_171,PROPN
172,exp,exp_name,mrs. braddocks,Mrs. Braddocks,22056,22070,21,182,3,M_172,PROPN
173,exp,exp_name,georgette,Georgette,22090,22099,10,183,3,M_173,PROPN
174,pdnc,qID,Q150-0,you,22122,22125,13,184,3,M_174,Other
175,pdnc,qID,Q150-0,Henry,22137,22142,13,184,3,M_175,PROPN
176,exp,exp_name,mrs. braddocks,Mrs. Braddocks,22145,22159,21,184,3,M_176,PROPN
177,exp,exp_name,braddocks,Braddocks,22185,22194,13,184,3,M_177,PROPN
178,pdnc,qID,Q150-1,Mr. Barnes,22197,22207,15,184,3,M_178,PROPN
179,booknlp,COREF,210,his,22219,22222,15,184,3,M_179,Other
180,exp,exp_name,mademoiselle leblanc,Mademoiselle Leblanc,22234,22254,10,184,3,M_180,PROPN
181,pdnc,qID,Q150-1,her,22260,22263,10,184,3,M_181,Other
182,pdnc,qID,Q150-1,Hobin,22281,22286,10,184,3,M_182,PROPN
183,pdnc,qID,Q151-0,darling,22302,22309,10,185,3,M_183,Other
184,pdnc,qID,Q151-0,Mademoiselle Hobin,22311,22329,10,185,3,M_184,PROPN
185,booknlp,COREF,205,I,22331,22332,10,185,3,M_185,Other
186,pdnc,qID,Q151-0,her,22342,22345,10,185,3,M_186,Other
187,pdnc,qID,Q152-0,Mademoiselle Hobin,22375,22393,10,186,3,M_187,PROPN
188,exp,exp_name,frances clyne,Frances Clyne,22396,22409,9,186,3,M_188,PROPN
189,exp,exp_name,mrs. braddocks,Mrs. Braddocks,22490,22504,21,186,3,M_189,PROPN
190,pdnc,qID,Q152-1,you,22544,22547,10,186,3,M_190,Other
191,pdnc,qID,Q152-1,you,22571,22574,10,186,3,M_191,Other
192,pdnc,qID,Q152-1,You,22589,22592,10,186,3,M_192,Other
193,pdnc,qID,Q152-1,you,22608,22611,10,186,3,M_193,Other
194,pdnc,qID,Q153-0,she,22626,22629,9,187,3,M_194,Other
195,exp,exp_name,georgette,Georgette,22632,22641,10,187,3,M_195,PROPN
196,booknlp,COREF,205,I,22660,22661,10,187,3,M_196,Other
197,pdnc,qID,Q153-1,her,22678,22681,9,187,3,M_197,Other
198,booknlp,COREF,205,She,22685,22688,10,188,3,M_198,Other
199,booknlp,COREF,200,Frances,22699,22706,9,188,3,M_199,Other
200,booknlp,COREF,200,her,22725,22728,9,188,3,M_200,Other
201,booknlp,COREF,200,her,22743,22746,9,188,3,M_201,Other
202,booknlp,COREF,200,her,22762,22765,9,188,3,M_202,Other
203,booknlp,COREF,200,her,22777,22780,9,188,3,M_203,Other
204,booknlp,COREF,200,I,22829,22830,9,189,3,M_204,Other
205,booknlp,COREF,200,I,22886,22887,9,190,3,M_205,Other
206,booknlp,COREF,200,I,22967,22968,9,191,3,M_206,Other
207,pdnc,qID,Q157-0,you,23012,23015,10,192,3,M_207,Other
208,booknlp,COREF,200,I,23049,23050,9,193,3,M_208,Other
209,exp,exp_name,georgette,Georgette,23139,23148,10,195,3,M_209,PROPN
210,pdnc,qID,Q160-0,You,23164,23167,15,195,3,M_210,Other
211,booknlp,COREF,200,Frances,23189,23196,9,196,3,M_211,Other
212,exp,exp_name,braddocks,Braddocks,23355,23364,13,196,3,M_212,PROPN
213,exp,exp_name,the wife,the wife,23695,23703,38,197,3,M_213,PROPN
214,exp,exp_name,braddocks,Braddocks,23959,23968,13,198,3,M_214,PROPN
215,booknlp,COREF,205,My,24293,24295,10,199,3,M_215,Other
216,exp,exp_name,georgette,Georgette,24302,24311,10,199,3,M_216,PROPN
217,booknlp,COREF,205,my,24364,24366,10,201,3,M_217,Other
218,pdnc,qID,Q165-0,your,24384,24388,10,202,3,M_218,Other
219,exp,exp_name,georgette,Georgette,24434,24443,10,204,3,M_219,PROPN
220,exp,exp_name,brett,Brett,25092,25097,6,204,3,M_220,PROPN
221,booknlp,COREF,212,She,25099,25102,6,204,3,M_221,Other
222,booknlp,COREF,212,she,25126,25129,6,204,3,M_222,Other
223,exp,exp_name,georgette,Georgette,25172,25181,10,205,3,M_223,PROPN
224,exp,exp_name,lett,Lett,25263,25267,17,205,3,M_224,PROPN
225,booknlp,COREF,213,You,25269,25272,17,205,3,M_225,Other
